datasheet_id|line|button|description
39|3|•|this model can be equipped with up to 4 big shootas.
39|4|•|this model can be equipped with any of the following: 1 ’ard case; 1 deff rolla; 1 grabbin’ klaw; 1 wreckin’ ball.
40|1|•|any number of models can each have each of their big shootas replaced with one of the following: 1 dread klaw; 1 kustom mega-blasta; 1 rokkit launcha; 1 skorcha.
40|2|•|any number of models can each have each of their dread klaws replaced with one of the following: 1 big shoota; 1 kustom mega-blasta; 1 rokkit launcha; 1 skorcha.
41|1|•|any number of models can each have their big shoota replaced with one of the following: 1 grotzooka; 1 rokkit launcha; 1 skorcha.
42|1|•|this model can be equipped with 1 kustom force field.
44|1|•|any number of spanners can each have their big shoota replaced with one of the following: 1 kustom mega-blasta; 1 rokkit launcha.
45|1|•|the kaptin can be equipped with one of the following: 1 choppa; 1 slugga.
45|2|•|the kaptin can be equipped with 1 gitfinda squig.
45|3|•|for every 5 models this unit contains, this unit can be equipped with 1 ammo runt.
49|1|•|any number of models can each have their big shoota replaced with one of the following: skorcha; grotzooka; rokkit launcha; kustom mega-blasta.
49|2|•|the kommanda can be equipped with one of the following: big shoota, skorcha; grotzooka; rokkit launcha; kustom mega-blasta.
50|1|•|any number of this model's big shootas can be replaced with one of the following: skorcha; grotzooka; rokkit launcha; kustom mega-blasta.
50|2|•|any number of this model’s twin big shootas can be replaced with one of the following: 2 skorchas; 2 grotzookas; 2 rokkit launchas; 2 kustom mega-blastas.
51|1|•|"this model can be equipped with 1 kannon. if it is, it has a <a href=""/wh40k9ed/the-rules/core-rules/#transport-capacity"">transport capacity</a> of 6 models."
52|1|•|this model’s killkannon can be replaced with one of the following: 1 dread killsaw; 1 dread rippa klaw.
52|2|•|this model’s dread rippa klaw can be replaced with one of the following: 1 dread killsaw; 1 killkannon.
53|1|•|this model can be equipped with one each of any of the following: 1 deff rolla; 1 grabbin’ klaw; 1 wreckin’ ball.
53|2|•|this model can be equipped with one of the following: 1 big shoota; 2 big shootas; 1 big shoota and 1 rokkit launcher; 1 rokkit launcha; 2 rokkit launchas.
54|1|•|"this model can be equipped with 1 kannon. if it is, it has a <a href=""/wh40k9ed/the-rules/core-rules/#transport-capacity"">transport capacity</a> of 6 models instead of 12."
54|2|•|"if this model is not equipped with 1 kannon, it can be equipped with 1 supa-kannon. if it is, it does not have a transport capacity and loses the <span class=""kwb"">transport</span> keyword."
55|1|•|this model can be equipped with up to 3 big shootas.
56|1|•|this model’s bursta kannon can be replaced with 1 giga shoota.
57|1|•|this model’s big shoota can be replaced with one of the following: 1 kustom mega-blasta; 1 rokkit launcha; 1 skorcha.
57|2|•|this model’s 2 deffguns can be replaced with 2 rattler kannons.
57|3|•|this model can be equipped with up to 2 bigbomms.
58|1|•|"this model can be equipped with 1 belly gun. if it is, it does not have a <a href=""/wh40k9ed/the-rules/core-rules/#transport-capacity"">transport capacity</a> and loses the <span class=""kwb"">transport</span> keyword."
58|2|•|this model’s mega-choppa and twin big shoota can be replaced with one of the following: 1 stompa klaw; 1 stompa lifta-droppa.
58|3|•|this model’s deffkannon, supa-gatler and supa-rokkits can be replaced with one of the following: 1 stompa klaw; 1 stompa lifta-droppa.
59|1|•|this model can be equipped with 1 kannon.
59|2|•|"if this model is not equipped with 1 kannon, it can be equipped with 1 squiggoth supa-kannon. if it is, it has a <a href=""/wh40k9ed/the-rules/core-rules/#transport-capacity"">transport capacity</a> of 15 models."
60|1|•|"this model’s master-crafted boltgun can be replaced with one of the following: 1 storm shield (maximum 1 per model); 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
60|2|•|"this model’s astartes chainsword can be replaced with one of the following: 1 relic blade; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 storm shield (maximum 1 per model)."
60|3|•|if this model is from the deathwatch chapter, its astartes chainsword can be replaced with 1 xenophase blade.
60|4|•|this model’s astartes chainsword can be replaced with 1 xenophase blade.
60|5|•|this model can be equipped with 1 jump pack (<b>power rating +1</b>).
61|1|•|"this model’s storm bolter can be replaced with one of the following: 1 combi-bolter; 1 lightning claw; 1 power fist; 1 thunder hammer; 1 storm shield (maximum 1 per model); 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list."
61|2|•|this model’s power sword can be replaced with one of the following: 1 chainfist; 1 lightning claw; 1 power axe; 1 power fist; 1 power maul; 1 relic blade; 1 thunder hammer; 1 storm shield (maximum 1 per model).
61|3|•|if this model is equipped with 1 or more power fists, it can be equipped with 1 wrist-mounted grenade launcher.
63|1|•|this model’s astartes chainsword can be replaced with one of the following: 1 power fist; 1 power sword.
64|1|•|"this model's bolt pistol can be replaced with one of the following: 1 master-crafted boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
64|2|•|"this model’s astartes chainsword can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 storm shield."
65|1|•|"this model's bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
65|2|•|this model's force stave can be replaced with one of the following: 1 force axe; 1 force sword.
65|3|•|this model can be equipped with 1 jump pack (<b>power rating +1</b>).
66|1|•|"this model can be equipped with 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list."
66|2|•|this model’s force stave can be replaced with one of the following: 1 force axe; 1 force sword.
67|1|•|"this model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
67|2|•|this model can be equipped with one of the following instead of 1 force stave: 1 force axe; 1 force sword.
68|1|•|"this model’s bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
68|2|•|"this model’s omnissian power axe can be replaced with 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
68|3|•|if this model is not equipped with a helfrost pistol, it can be equipped with 1 flamer, 1 plasma cutter, and 1 servo-arm (<b>power rating +1</b>).
68|4|•|this model can be equipped with 1 flamer, 1 plasma cutter, and 1 servo-arm (<b>power rating +1</b>).
68|5|•|if this model is from the space wolves chapter (or one of its successor chapters) and it is not equipped with a plasma cutter, its bolt pistol and omnissian power axe can be replaced with 1 helfrost pistol and 1 tempest hammer.
68|6|•|if this model is not equipped with a plasma cutter, its bolt pistol and omnissian power axe can be replaced with 1 helfrost pistol and 1 tempest hammer.
69|1|•|up to 2 servitors can each have their servo-arm replaced with one of the following: 1 heavy bolter; 1 multi-melta; 1 plasma cannon.
70|1|•|"this model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
70|2|•|"this model can be equipped with one of the following instead of 1 power axe: 1 weapon from the <i><span class=""tooltip00471"" data-tooltip-content=""#tooltip_content00471""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
70|3|•|if this model is not equipped with a servo-harness, it can be equipped with 1 conversion beamer instead of 1 servo-arm.
70|4|•|this model can additionally be equipped with a servo-harness (<b>power rating +1</b>). a servo-harness is comprised of: 1 flamer; 1 plasma cutter; 1 servo-arm.
71|1|•|"this model’s bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 power fist."
71|2|•|this model can be equipped with 1 jump pack (<b>power rating +1</b>).
72|1|•|"this model’s storm bolter can be replaced with 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list."
73|1|•|"this model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 power fist; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
76|1|•|this model’s bolt pistol and master-crafted auto bolt rifle can be replaced with one of the following:
76|2|-|1 bolt pistol and 1 master-crafted stalker bolt rifle.
76|3|-|1 bolt pistol and 1 master-crafted power sword.
76|4|-|1 neo-volkite pistol, 1 master-crafted power sword and 1 storm shield (<b>power rating+1</b>).
76|5|•|if this model is from the dark angels chapter (or one of its successor chapters), its bolt pistol can be replaced with 1 plasma pistol.
76|6|•|this model’s bolt pistol can be replaced with 1 plasma pistol.
76|7|•|if this model is from the space wolves chapter (or one of its successor chapters), its master-crafted auto bolt rifle can be replaced with 1 special issue bolt carbine and 1 master-crafted power axe.
76|8|•|this model’s master-crafted auto bolt rifle can be replaced with 1 special issue bolt carbine and 1 master-crafted power axe.
76|9||&nbsp;
76|10||if a primaris lieutenant is from the black templars chapter, you can use the following additional wargear options for them:
76|11|•|this model’s master-crafted auto bolt rifle can be replaced with: 1 combi-flamer and 1 master-crafted power axe.
76|12|•|this model’s bolt pistol and master-crafted auto bolt rifle can be replaced with one of the following:
76|13|-|1 heavy bolt pistol and 1 astartes chainsword.
76|14|-|1 heavy bolt pistol and 1 master-crafted power sword.
76|15|-|1 auto-plasma and 1 astartes chainsword.
76|16|-|1 auto-plasma and 1 master-crafted power sword.
77|1|•|"this model's bolt pistol can be replaced with one of the following: 1 boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
78|1|•|"this model can be equipped with one of the following instead of 1 bolt pistol: 1 boltgun; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00471"" data-tooltip-content=""#tooltip_content00471""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
79|1|•|this model’s bolt rifle can be replaced with 1 power sword.
82|1|•|"any number of models can each have their bolt pistol replaced with one of the following: 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 storm shield [maximum 1 per model)."
82|2|•|"any number of models can each have their boltgun replaced with one of the following: 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 storm shield (maximum 1 per model)."
82|3|•|"any number of company veterans can each have their boltgun replaced with 1 weapon from the <i><span class=""tooltip00472"" data-tooltip-content=""#tooltip_content00472""><span class=""tt"">special</span> <span class=""tt"">weapons</span></span></i> list."
82|4|•|"if this unit contains 5 models, 1 company veteran's boltgun can be replaced with 1 weapon from the <i><span class=""tooltip00474"" data-tooltip-content=""#tooltip_content00474""><span class=""tt"">heavy</span> <span class=""tt"">weapons</span></span></i> list."
82|5|•|if this unit is from the dark angels chapter (or one of its successor chapters), any number of its models that are not equipped with a storm shield can each be equipped with 1 combat shield.
82|6|•|any number of its models that are not equipped with a storm shield can each be equipped with 1 combat shield.
83|1|•|"the veteran biker sergeant can be equipped with up to 2 weapons from the <i><span class=""tooltip00475"" data-tooltip-content=""#tooltip_content00475""><span class=""tt"">sergeant</span> <span class=""tt"">weapons</span></span></i> list instead of 1 bolt pistol and 1 chainsword."
83|2|•|"any space marine veteran biker can be equipped with one of the following instead of 1 bolt pistol: 1 storm shield; 1 weapon from the <i><span class=""tooltip00471"" data-tooltip-content=""#tooltip_content00471""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list."
83|3|•|"any space marine veteran biker can be equipped with one of the following instead of 1 chainsword: 1 boltgun; 1 storm shield; 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00471"" data-tooltip-content=""#tooltip_content00471""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00472"" data-tooltip-content=""#tooltip_content00472""><span class=""tt"">special</span> <span class=""tt"">weapons</span></span></i> list."
84|1|•|"the space marine sergeant’s bolt pistol can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
84|2|•|"the space marine sergeant’s boltgun can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
84|3|•|"if this unit contains 9 or fewer models, 1 space marine's boltgun can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00474"" data-tooltip-content=""#tooltip_content00474""><span class=""tt"">heavy</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00472"" data-tooltip-content=""#tooltip_content00472""><span class=""tt"">special</span> <span class=""tt"">weapons</span></span></i> list."
84|4|•|"if this unit contains 10 models, 1 space marine’s boltgun can be replaced with 1 weapon from the <i><span class=""tooltip00472"" data-tooltip-content=""#tooltip_content00472""><span class=""tt"">special</span> <span class=""tt"">weapons</span></span></i> list."
84|5|•|"if this unit contains 10 models, 1 space marine’s boltgun can be replaced with 1 weapon from the <i><span class=""tooltip00474"" data-tooltip-content=""#tooltip_content00474""><span class=""tt"">heavy</span> <span class=""tt"">weapons</span></span></i> list."
85|1|•|"the scout sergeant's bolt pistol can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
85|2|•|"the scout sergeant’s boltgun can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list."
85|3|•|any number of models can each have their boltgun replaced with one of the following: 1 astartes shotgun; 1 scout sniper rifle; 1 combat knife.
85|4|•|"1 scout’s boltgun can be replaced with one of the following: 1 heavy bolter; 1 missile launcher; 1 weapon from the <i><span class=""tooltip00472"" data-tooltip-content=""#tooltip_content00472""><span class=""tt"">special</span> <span class=""tt"">weapons</span></span></i> list. a model can only take a weapon from the <i>special weapons</i> list if it is from the space wolves chapter (or one of its successor chapters)."
85|5|•|"1 scout’s boltgun can be replaced with one of the following: 1 heavy bolter; 1 missile launcher; 1 weapon from the <i><span class=""tooltip00472"" data-tooltip-content=""#tooltip_content00472""><span class=""tt"">special</span> <span class=""tt"">weapons</span></span></i> list."
85|6|•|1 scout’s boltgun can be replaced with one of the following: 1 heavy bolter; 1 missile launcher.
85|7|•|if this unit is from the space wolves chapter (or one of its successor chapters), 1 scout’s boltgun and bolt pistol can be replaced with one of the following:
85|8|•|1 scout’s boltgun and bolt pistol can be replaced with one of the following:
85|9|-|1 bolt pistol and 1 power axe.
85|10|-|1 bolt pistol and 1 power sword.
85|11|-|1 boltgun and 1 plasma pistol.
85|12|•|any number of models can each be equipped with 1 camo cloak.
86|1|•|all of the models in the unit can have their bolt rifle replaced with 1 auto bolt rifle each.
86|2|•|all of the models in the unit can have their bolt rifle replaced with 1 stalker bolt rifle each.
86|3|•|if the intercessor sergeant is not equipped with an astartes chainsword, a power sword, a power fist or a thunder hammer, its bolt rifle, auto bolt rifle or stalker bolt rifle can be replaced with one of the following: 1 hand flamer; 1 plasma pistol; 1 astartes chainsword; 1 power sword.
86|4|•|if the intercessor sergeant is not equipped with an astartes chainsword or a power sword, it can be equipped with one of the following: 1 astartes chainsword; 1 power fist; 1 power sword; 1 thunder hammer.
86|5|•|for every 5 models in this unit, 1 model equipped with a bolt rifle, auto bolt rifle or stalker bolt rifle can be equipped with 1 astartes grenade launcher.
91|1|•|any number of models can each have their 2 flamers replaced with 2 meltaguns.
91|2|•|any number of models can each have their centurion assault launcher replaced with 1 hurricane bolter.
92|1|•|"any number of models can each have their special issue boltgun replaced with 1 weapon from the <i><span class=""tooltip00468"" data-tooltip-content=""#tooltip_content00468""><span class=""tt"">combi-weapons</span></span></i> list."
92|2|•|"the sternguard veteran sergeant’s bolt pistol can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 astartes chainsword; 1 lightning claw; 1 power axe; 1 power fist; 1 power maul; 1 power sword."
92|3|•|"the sternguard veteran sergeant’s special issue boltgun can be replaced with one of the following: 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 astartes chainsword; 1 lightning claw; 1 power axe; 1 power fist; 1 power maul; 1 power sword."
92|4|•|"up to 2 sternguard veterans can each have their special issue boltgun replaced with one of the following: 1 heavy flamer; 1 weapon from the <i><span class=""tooltip00474"" data-tooltip-content=""#tooltip_content00474""><span class=""tt"">heavy</span> <span class=""tt"">weapons</span></span></i> list; 1 weapon from the <i><span class=""tooltip00472"" data-tooltip-content=""#tooltip_content00472""><span class=""tt"">special</span> <span class=""tt"">weapons</span></span></i> list."
93|1|•|"any number of models can each have their bolt pistol replaced with one of the following: 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 storm shield (maximum 1 per model)."
93|2|•|"any number of models can each have their astartes chainsword replaced with one of the following: 1 weapon from the <i><span class=""tooltip00469"" data-tooltip-content=""#tooltip_content00469""><span class=""tt"">pistols</span></span></i> list; 1 weapon from the <i><span class=""tooltip00470"" data-tooltip-content=""#tooltip_content00470""><span class=""tt"">melee</span> <span class=""tt"">weapons</span></span></i> list; 1 storm shield (maximum 1 per model)."
93|3|•|if this unit is from the deathwatch chapter, any number of its models can each have their bolt pistol and astartes chainsword replaced with 1 heavy thunder hammer.
93|4|•|any number of models can each have their bolt pistol and astartes chainsword replaced with 1 heavy thunder hammer.
93|5|•|the vanguard veteran sergeant's astartes chainsword can be replaced with 1 relic blade.
