wargear_id|line|name|Range|type|S|AP|D|abilities
18|1|Kustom mega-kannon|36|Heavy D6|8|-3|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> after shooting with this weapon.
19|1|Kustom mega-slugga|12|Pistol D3|8|-3|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> after shooting with this weapon.
20|1|Kustom shoota|18|Dakka 6/4|4|0|1|
21|1|Lobba|48|Heavy D6|5|0|1|<span class=tooltip00881 data-tooltip-content=#tooltip_content00881><span class=tt kwbu>Indirect</span> <span class=tt kwbu>Fire</span></span>. <a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. This weapon can target units that are not visible to the bearer.
22|1|Pair of rokkit pistols|12|Pistol 2|7|-2|D3|
23|1|Rack of rokkits|24|Assault 2|8|-2|3|
24|1|Standard|24|Heavy 3|7|-3|2|
24|2|Supercharge|24|Heavy 3|8|-3|3|Each time the bearer shoots, if any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for an attack with this weapon profile, the bearer suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> after shooting with this weapon.
25|1|Rokkit launcha|24|Heavy D3|8|-2|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
26|1|Shokk attack gun|60|Heavy D6|*|-5|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. Each time this weapon is selected to shoot with, roll 2D6 to determine the Strength of all its attacks: on an 11+, each successful hit inflicts D3 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wounds</a> on the target in addition to any normal damage.
27|1|Shoota|18|Dakka 3/2|4|0|1|
28|1|Skorcha|12|Assault D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.
29|1|Skorcha missile racks|36|Assault 2D6|6|-2|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. Each time an attack is made with this weapon, the target does not receive the <a href=/wh40k9ed/the-rules/core-rules/#Terrain-and-Cover>benefits of cover</a> against that attack.
30|1|Slugga|12|Pistol 1|4|0|1|
31|1|Smasha gun|48|Heavy D3|8|-4|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
32|1|Snazzgun|24|Heavy 3|6|-2|2|
34|1|Stikkbombz|8|Grenade D6|3|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
35|1|Stikkbomb flinga|12|Assault 2D6|3|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
36|1|Supa-shoota|36|Dakka 6/4|6|-1|1|
37|1|Supa-gatler|48|Dakka 24/16|7|-2|1|
38|1|Supa-rokkits|100|Heavy D6|8|-3|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
39|1|Tankbusta bomb|6|Grenade D3|8|-2|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
40|1|Tellyport blasta|12|Assault D6|8|-2|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
41|1|Tellyport mega-blasta|24|Assault D6|9|-2|D3+3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
42|1|Traktor kannon|48|Heavy 1|8|-2|D3+3|Each time an attack is made with this weapon:<br><ul><li>Against a <span class=kwb>VEHICLE</span> unit that can <a href=/wh40k9ed/the-rules/core-rules/#Flying><span class=kwb>FLY</span></a>, that attack has a Damage characteristic of D6+3.</li><li>Against an <a href=/wh40k9ed/the-rules/core-rules/#Aircraft><span class=kwb>AIRCRAFT</span></a> unit, add 2 to that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.</li><li>Against a non-<span class=kwb>AIRCRAFT</span> unit, add 1 to that attack’s hit roll.</li></ul>
43|1|Twin big shoota|36|Dakka 10/6|5|0|1|
44|1|Wazbom mega-kannon|36|Heavy D3|10|-3|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> after shooting with this weapon.
45|1|Zzap gun|36|Heavy 1|*|-3|3|Each time this weapon is selected to shoot with, roll 2D6 to determine the Strength of all its attacks: on an 11+, each successful hit inflicts D3 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wounds</a> on the target in addition to any normal damage, and the bearer suffers 1 mortal wound.
46|1|Big choppa|Melee|Melee|+2|-1|2|
47|1|Burna (melee)|Melee|Melee|User|-2|1|
48|1|Choppa|Melee|Melee|User|-1|1|Each time the bearer fights, it makes 1 additional attack with this weapon.
49|1|Deff rolla|Melee|Melee|+1|-2|2|Each time an attack is made with this weapon, treat the bearer as having a Weapon Skill characteristic of 2+.
50|1|Dread klaw|Melee|Melee|x2|-3|3|Each time the bearer fights, it makes 1 additional attack with this weapon.
51|1|Grabba stikk|Melee|Melee|+1|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon.
52|1|Grabbin’ klaw|Melee|Melee|User|-3|2|Each time the bearer fights, it makes 1 additional attack with this weapon and no more than 1 attack can be made with this weapon.
53|1|Grot-prod|Melee|Melee|+2|-1|1|
54|1|Kan klaw|Melee|Melee|+3|-3|3|
55|1|Killsaw|Melee|Melee|x2|-4|D3|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>. Each time the bearer fights, if it is equipped with 2 killsaws, it makes 1 additional attack with this weapon.
56|1|Crush|Melee|Melee|x2|-4|6|
56|2|Smash|Melee|Melee|User|-2|2|Each time an attack is made with this weapon profile, make 3 <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> instead of 1.
58|1|Smash|Melee|Melee|x2|-5|9|
58|2|Slash|Melee|Melee|User|-2|3|Each time an attack is made with this weapon profile, make 3 <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> instead of 1.
59|1|Mork’s Teeth|Melee|Melee|User|-2|2|
60|1|Power klaw|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
61|1|Power stabba|Melee|Melee|User|-2|1|
62|1|Spinnin’ blades|Melee|Melee|+1|-1|1|Each time an attack is made with this weapon, make 3 <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> instead of 1.
63|1|Tankhammer|Melee|Melee|-|-|-|Each time the bearer fights, it can only make 1 attack with this weapon. If that attack hits, the target unit suffers D6 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wounds</a> and the bearer is destroyed.
64|1|’Urty syringe|Melee|Melee|2|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon. Each time an attack is made with this weapon, unless the target is a <span class=kwb>VEHICLE</span> or <span class=kwb>TITANIC</span> unit, that attack always wounds on an unmodified <a href=/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll>wound roll</a> of 2+.
65|1|Da Vulcha’s Klaws|Melee|Melee|+2|-3|2|
66|1|Waaagh! banner|Melee|Melee|+2|0|2|
67|1|Weirdboy staff|Melee|Melee|+3|-1|D3|
68|1|Wreckin’ ball|Melee|Melee|+2|-1|2|Each time the bearer fights, it makes 1 additional attack with this weapon and no more than 1 attack can be made with this weapon.
69|1|Attack squig|Melee|Melee|4|-1|1|Each time the bearer fights, it makes 2 additional attacks with this weapon and no more than 2 attacks can be made with this weapon.
70|1|Killkannon|24|Heavy D6|8|-2|2|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
72|1|Da Pain Klaw|Melee|Melee|x2|-4|D3|Each time an attack is made with this weapon against an <span class=kwb>INFANTRY</span> or <span class=kwb>MONSTER</span> unit, an unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a> of 6 inflicts 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> on the target in addition to the normal damage.
73|1|Mek arms|Melee|Melee|x2|0|2|Each time the bearer fights, it makes 2 additional attacks with this weapon and no more than 2 attacks can be made with this weapon.
75|1|Gorin’ horns|Melee|Melee|User|-3|D6|
78|1|Rattler kannon|24|Heavy D6|6|-2|1|
81|1|Lifta-droppa|48|Heavy D6|-|-|-|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. Each time an attack is made with this weapon, that attack automatically hits the target. Each time this weapon hits, roll 2D6 instead of <a href=/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll>rolling to wound</a>: if the result is equal to or greater than the target’s highest Strength characteristic, the target suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a>.
82|1|Supa-kannon|60|Heavy 2D6|8|-2|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
87|1|Giga shoota|48|Heavy 30|6|-2|1|Each time an attack is made with this weapon against a target within half range, add 1 to that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
88|1|Bursta kannon|36|Heavy 3D6|10|-3|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. Each time an attack is made with this weapon against a target within half range, add 1 to that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
89|1|Gaze of Mork|18|Heavy 3|12|-4|6|
90|1|Belly gun|36|Heavy 3D6|8|-2|2|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
93|1|Huge tusks|Melee|Melee|User|-4|D3+3|
94|1|Assault bolter|18|Assault 3|5|-1|1|
95|1|Assault cannon|24|Heavy 6|6|-1|1|
96|1|Frag grenade|30|Assault D6|3|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
96|2|Krak grenade|30|Assault 1|6|-1|D3|
97|1|Astartes shotgun|18|Assault 2|4|0|1|
98|1|Bolt pistol|12|Pistol 1|4|0|1|
99|1|Bolt rifle|30|Rapid Fire 1|4|-1|1|
100|1|Boltgun|24|Rapid Fire 1|4|0|1|
101|1|Boltstorm gauntlet (shooting)|18|Pistol 3|4|-1|1|
102|1|Centurion missile launcher|36|Assault D3|8|-2|D3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
103|1|Cerberus launcher|18|Heavy D6|4|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
104|1|Combi-bolter|24|Rapid Fire 2|4|0|1|
105|1|Boltgun|24|Rapid Fire 1|4|0|1|
105|2|Flamer|12|Assault D6|4|0|1|Each time an attack is made with this weapon profile, that attack automatically hits the target.
106|1|Boltgun|24|Rapid Fire 1|4|0|1|
106|2|Grav-gun|18|Rapid Fire 1|5|-3|1|Each time an attack made with this weapon profile is allocated to a model with a Save characteristic of 3+ or better, that attack has a Damage characteristic of 2.
107|1|Boltgun|24|Rapid Fire 1|4|0|1|
107|2|Meltagun|12|Assault 1|8|-4|D6|Each time an attack made with this weapon profile targets a unit within half range, that attack has a Damage characteristic of D6+2.
108|1|Boltgun|24|Rapid Fire 1|4|0|1|
108|2|Plasma gun (standard)|24|Rapid Fire 1|7|-3|1|
108|3|Plasma gun (supercharge)|24|Rapid Fire 1|8|-3|2|If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.
109|1|Conversion beamer|42|Heavy D3|6|0|1|When resolving an attack made with this weapon against a unit that is not within half range, this weapon has a Strength characteristic of 8, an Armour Penetration characteristic of -1, and a Damage characteristic of 2 for that attack.
110|1|Frag missile|36|Heavy 2D6|4|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
110|2|Krak missile|36|Heavy 2|8|-2|D6|
111|1|Deathwind launcher|12|Heavy D6|5|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
112|1|Demolisher cannon|24|Heavy D6|10|-3|D6|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
113|1|Boltgun|24|Rapid Fire 1|4|0|1|
113|2|Disintegration gun|18|Rapid Fire 1|5|-3|D6|
114|1|Disintegration pistol|9|Pistol 1|5|-3|D6|
115|1|Flamer|12|Assault D6|4|0|1|Each time an attack is made with this weapon, that attack automatically hits the target.
116|1|Flamestorm cannon|12|Heavy D6|6|-2|2|Each time an attack is made with this weapon, that attack automatically hits the target.
117|1|Frag grenades|6|Grenade D6|3|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
118|1|Grav-pistol|12|Pistol 1|5|-3|1|Each time an attack made with this weapon is allocated to a model with a Save characteristic of 3+ or better, that attack has a Damage characteristic of 2.
119|1|Grav-cannon and grav-amp|24|Heavy 4|5|-3|1|When resolving an attack made with this weapon against a unit with a Save characteristic of 3+ or better, this weapon has a Damage characteristic of D3 for that attack.
120|1|Grav-gun|18|Rapid Fire 1|5|-3|1|Each time an attack made with this weapon is allocated to a model with a Save characteristic of 3+ or better, that attack has a Damage characteristic of 2.
121|1|Grenade harness|12|Assault D6|4|-1|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
122|1|Heavy bolter|36|Heavy 3|5|-1|2|
123|1|Heavy flamer|12|Heavy D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.
124|1|Standard|36|Heavy D3|7|-3|2|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
124|2|Supercharge|36|Heavy D3|8|-3|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. Each time an unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a> of 1 is made for an attack with this weapon profile, the bearer suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> after shooting with this weapon.
125|1|Hunter-killer missile|48|Heavy 1|10|-2|D6|The bearer can only shoot with each hunter-killer missile it is equipped with once per battle.
126|1|Hurricane bolter|24|Rapid Fire 6|4|0|1|
127|1|Icarus stormcannon|48|Heavy 3|7|-1|2|Each time an attack is made with this weapon against an <a href=/wh40k9ed/the-rules/core-rules/#Aircraft><span class=kwb>AIRCRAFT</span></a> unit, make 2 <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> instead of 1 and add 1 to both those hit rolls.
128|1|Kheres-pattern assault cannon|24|Heavy 6|7|-1|1|
129|1|Krak grenades|6|Grenade 1|6|-1|D3|
130|1|Las-talon|24|Heavy 2|9|-3|D6|
131|1|Lascannon|48|Heavy 1|9|-3|D6|
132|1|Master-crafted auto bolt rifle|24|Assault 3|4|0|2|
133|1|Master-crafted boltgun|24|Rapid Fire 1|4|-1|2|
135|1|Meltagun|12|Assault 1|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.
136|1|Frag missile|48|Heavy D6|4|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
136|2|Krak missile|48|Heavy 1|8|-2|D6|
137|1|Multi-melta|24|Heavy 2|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.
139|1|Standard|18|Assault 2|7|-3|1|
139|2|Supercharge|18|Assault 2|8|-3|2|If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.
140|1|Standard|36|Heavy D3|7|-3|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
140|2|Supercharge|36|Heavy D3|8|-3|2|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.
141|1|Standard|12|Assault 1|7|-3|1|
141|2|Supercharge|12|Assault 1|8|-3|2|If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.
142|1|Standard|24|Rapid Fire 1|7|-3|1|
142|2|Supercharge|24|Rapid Fire 1|8|-3|2|If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.
143|1|Standard|30|Rapid Fire 1|7|-4|1|
143|2|Supercharge|30|Rapid Fire 1|8|-4|2|If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.
144|1|Standard|12|Pistol 1|7|-3|1|
144|2|Supercharge|12|Pistol 1|8|-3|2|If any unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit rolls</a> of 1 are made for attacks with this weapon profile, the bearer is destroyed after shooting with this weapon.
145|1|Predator autocannon|48|Heavy 2D3|7|-1|3|
146|1|Reaper autocannon|36|Heavy 4|7|-2|1|
147|1|Skyhammer missile launcher|60|Heavy 3|7|-1|D3|Each time an attack is made with this weapon against an <a href=/wh40k9ed/the-rules/core-rules/#Aircraft><span class=kwb>AIRCRAFT</span></a> unit, add 1 to that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
148|1|Skyspear missile launcher|60|Heavy 1|9|-3|D6|Each time an attack is made with this weapon against an <a href=/wh40k9ed/the-rules/core-rules/#Aircraft><span class=kwb>AIRCRAFT</span></a> unit, add 2 to that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>. Each time an attack made with this weapon is allocated to an <span class=kwb>AIRCRAFT</span> model, that attack has a Damage characteristic of D6+6.
149|1|Scout sniper rifle|36|Heavy 1|4|-1|1|Each time you select a target for this weapon, you can ignore the <a href=/wh40k9ed/the-rules/core-rules/#Look-out-Sir>Look Out, Sir</a> rule. Each time an attack is made with this weapon, an unmodified <a href=/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll>wound roll</a> of 6 inflicts 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> on the target in addition to any normal damage.
150|1|Special issue boltgun|30|Rapid Fire 1|4|-2|1|
151|1|Storm bolter|24|Rapid Fire 2|4|0|1|
152|1|Stormstrike missile launcher|72|Heavy 1|8|-3|3|
153|1|Thunderfire cannon|60|Heavy 4D3|4|0|1|<span class=tooltip00881 data-tooltip-content=#tooltip_content00881><span class=tt kwbu>Indirect</span> <span class=tt kwbu>Fire</span></span>. <a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. This weapon can target units that are not visible to the bearer.
154|1|Twin assault cannon|24|Heavy 12|6|-1|1|
155|1|Twin autocannon|48|Heavy 4|7|-1|2|
156|1|Twin boltgun|24|Rapid Fire 2|4|0|1|
157|1|Twin heavy bolter|36|Heavy 6|5|-1|2|
158|1|Twin heavy flamer|12|Heavy 2D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.
159|1|Standard|36|Heavy 2D3|7|-3|2|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
159|2|Supercharge|36|Heavy 2D3|8|-3|3|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>.  Each time an unmodified <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a> of 1 is made for an attack with this weapon profile, the bearer suffers 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> after shooting with this weapon.
160|1|Twin lascannon|48|Heavy 2|9|-3|D6|
161|1|Twin multi-melta|24|Heavy 4|8|-4|D6|Each time an attack made with this weapon targets a unit within half range, that attack has a Damage characteristic of D6+2.
162|1|Standard|24|Rapid Fire 2|7|-3|1|
162|2|Supercharge|24|Rapid Fire 2|8|-3|2|On a <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a> of 1, the bearer is slain after all of this weapon’s shots have been resolved.
163|1|Frag missile|48|Heavy 2D6|4|0|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
163|2|Krak missile|48|Heavy 2|8|-2|D6|
164|1|Volkite charger|20|Heavy 2|5|0|2|Each time an attack is made with this weapon, an unmodified <a href=/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll>wound roll</a> of 6 inflicts 1 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wound</a> on the target in addition to any normal damage.
165|1|Whirlwind castellan launcher|72|Heavy 2D6|6|0|1|<span class=tooltip00881 data-tooltip-content=#tooltip_content00881><span class=tt kwbu>Indirect</span> <span class=tt kwbu>Fire</span></span>. <a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. This weapon can target units that are not visible to the bearer.
166|1|Whirlwind vengeance launcher|72|Heavy 2D3|7|-1|2|<span class=tooltip00881 data-tooltip-content=#tooltip_content00881><span class=tt kwbu>Indirect</span> <span class=tt kwbu>Fire</span></span>. <a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>. This weapon can target units that are not visible to the bearer.
167|1|Wrist-mounted grenade launcher|12|Assault D3|4|-1|1|<a href=/wh40k9ed/the-rules/core-rules/#Blast-Weapons>Blast</a>
168|1|Boltstorm gauntlet (melee)|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
169|1|Chainfist|Melee|Melee|x2|-4|D3|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>, and if that attack is allocated to a <span class=kwb>VEHICLE</span> model, that attack has a Damage characteristic of 3.
170|1|Chainsword|Melee|Melee|User|0|1|When the bearer fights, it makes 1 additional attack with this weapon.
171|1|Champion’s blade|Melee|Melee|User|-2|1|When the bearer fights, it makes 1 additional attack with this weapon.
172|1|Combat knife|Melee|Melee|User|0|1|Each time the bearer fights, it makes 1 additional attack with this weapon.
173|1|Crozius arcanum|Melee|Melee|+2|-1|2|
175|1|Dreadnought combat weapon|Melee|Melee|x2|-3|3|
176|1|Eviscerator|Melee|Melee|+3|-4|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
177|1|Force axe|Melee|Melee|+2|-2|D3|
178|1|Force stave|Melee|Melee|+3|-1|D3|
179|1|Force sword|Melee|Melee|+1|-3|D3|
180|1|Lightning claw|Melee|Melee|User|-2|1|Each time the bearer fights, it makes 1 additional attack with this weapon. Each time an attack is made with this weapon, you can re-roll the <a href=/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll>wound roll</a>.
181|1|Master-crafted power sword|Melee|Melee|+1|-3|2|
182|1|Power axe|Melee|Melee|+2|-2|1|
183|1|Power fist|Melee|Melee|x2|-3|2|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
184|1|Power lance|Melee|Melee|+2|-1|1|
185|1|Power maul|Melee|Melee|+3|-1|1|
186|1|Power sword|Melee|Melee|+1|-3|1|
187|1|Relic blade|Melee|Melee|+3|-3|2|
188|1|Seismic hammer|Melee|Melee|x2|-4|5|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
189|1|Servo-arm|Melee|Melee|x2|-2|3|Each time the bearer fights, no more than one attack can be made with each servo-arm.
190|1|Siege drills|Melee|Melee|x2|-4|3|
191|1|Thunder hammer|Melee|Melee|x2|-2|3|Each time an attack is made with this weapon, subtract 1 from that attack’s <a href=/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll>hit roll</a>.
196|1|Hand of Dominion (shooting)|24|Rapid Fire 3|6|-1|2|
197|1|The Emperor’s Sword|Melee|Melee|+2|-4|3|When resolving an attack made with this weapon, an unmodified <a href=/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll>wound roll</a> of 6 inflicts D3 <a href=/wh40k9ed/the-rules/core-rules/#Mortal-Wounds>mortal wounds</a> on the target in addition to any other damage.
198|1|Hand of Dominion (melee)|Melee|Melee|x2|-3|4|
199|1|Fist of Dorn|Melee|Melee|+6|-3|3|
200|1|Dorn’s Arrow|24|Assault 4|4|-1|2|
