id|name|faction_id|description
52|Turbo-boost|ORK|irrelevant
53|Scoutin’ Ahead|ORK|irrelevant
54|Bigbomm|ORK|once per battle, at the end of your movement phase, -ma- can drop its bigbomm on one -eu- unit it moved over in that phase. to a maximum of five d6, roll one d6 for each model in that unit. for each roll of 5+ that unit suffers 1 mortal wound.
55|Airborne|AE|irrelevant
55|Airborne|ORK|irrelevant
56|Hard to Hit|ORK|-era- -ma-, -s1hr-.
56|Hard to Hit|AE|-era- -ma-, -s1hr-.
57|Supersonic|ORK|irrelevant
60|Burna bombs|ORK|"once per turn, if the bearer has any burna bombs remaining, it can drop one of them. in your movement phase, after the bearer makes a normal move or advances, you can select one point on the battlefield the bearer moved across this phase. roll one d6 for each model within 6"" of that point, subtracting 1 if that model is a character (excluding vehicle or monster models): on a 5+, that model’s unit suffers 1 mortal wound. each burna bomb can only be dropped once per battle."
62|Grot Gunner|ORK|each time -ma- makes an attack with a twin big shoota, add 1 to that attack’s hit roll.
63|Boom bomb|ORK|"once per turn, if the bearer has any boom bombs remaining, it can drop one of them. in your movement phase, after the bearer makes a normal move or advances, you can select one point on the battlefield the bearer moved across this phase. roll one d6 for each unit within 6"" of that point, subtracting 1 if that unit is a character (excluding vehicle or monster units): on a 4+, that unit suffers d3 mortal wounds. on a 6, that unit suffers d6 mortal wounds instead. each boom bomb can only be dropped once per battle."
64|Grot Gunner|ORK|each time -ma- makes an attack with a big shoota, add 1 to that attack’s hit roll.
66|Outriders|ORK|irrelevant
69|Grot Krew|ORK|"each big gun and its grot krew are treated as a single model for all rules purposes. the krew must remain within 1"" of their big gun and cannot be targeted or attacked separately. the range and visibility of all attacks made by a big gun are measured from the big gun, not the krew."
71|Big Gunz|ORK|irrelevant
74|’Ard case|ORK|add 1 to -ma-’s toughness characteristic. -ma- cannot use the open topped ability.
77|Explodes|ORK|irrelevant
78|Explodes|ORK|irrelevant
79|Scrag ’Em|ORK|while -ua- contains 3 or more models, add 1 to the attacks characteristic of models in -ua-.
80|Explodes|ORK|irrelevant
81|Kustom force field|ORK|"(aura) while a -fu- orks unit is within 6"" of the bearer, it has a 6-isv-. the range of this aura ability can never be increased, unless specifically stated otherwise."
83|Explodes|ORK|irrelevant
84|Big ’n’ Stompy|ORK|irrelevant
85|Ammo Runt|ORK|once per battle, when the bearer makes a ranged attack, you can re-roll the hit roll.we recommend placing an ammo runt model next to the unit as a reminder, removing it once this ability has been used (an ammo runt does not count as a model for any rules purposes).
87|Explodes|ORK|irrelevant
90|Waaagh! Effigy (Aura)|ORK|irrelevant
92|Da Beast|ORK|irrelevant
94|Nitnuckle and Lunk|ORK|irrelevant
100|Explodes|ORK|irrelevant
101|Howdah|ORK|irrelevant
102|Stampede|ORK|each time -ma- finishes a charge move, select one -eu- unit within engagement range of it and roll one d6: on a 2+, that unit suffers d3 mortal wounds.
107|Explodes|ORK|irrelevant
109|Explodes|ORK|irrelevant
113|Explodes|ORK|irrelevant
120|Bigbomm|ORK|once per battle for each bigbomm that -ma- is equipped with it can drop a bomm. if it does, in your movement phase, after -ma- has made a normal move or advanced, you can select one -eu- unit -ma- moved across as part of that move. if you do, roll one d6 for each model in that -eu- unit (up to a maximum of five d6). that -eu- unit suffers 1 mortal wound for each result of 5+.
129|And They Shall Know No Fear|SM|irrelevant
130|Rites of Battle|SM|"re-roll hit rolls of 1 for attacks made by models in -fu- -key-chapter-key- units whilst their unit is within 6"" of -ma-."
131|Iron Halo|SM|-ma- has a 4-isv-.
132|Storm shield|SM|the bearer has a 4-isv-. in addition, add 1 to armour saving throws made for the bearer.
134|Teleport Strike|SM|irrelevant
136|Turbo-boost|SM|irrelevant
137|Psychic Hood|SM|irrelevant
137|Psychic Hood|INQ|irrelevant
138|Crux Terminatus|SM|-ma- has a 5-isv-.
139|Blessing of the Omnissiah|SM|irrelevant
140|Mindlock|SM|irrelevant
142|Spiritual Leaders|SM|irrelevant
143|Rosarius|SM|-ma- has a 4-isv-.
144|Narthecium (Aura)|SM|"while a -fu- -key-chapter-key- infantry or -key-chapter-key- biker unit is within 3"" of -ma-, each time a model in that unit would lose a wound, roll one d6: on a 6, that wound is not lost."
146|Company Heroes|SM|irrelevant
147|Astartes Banner|SM|irrelevant
148|Honour or Death|SM|irrelevant
149|Combat shield|SM|the bearer has a 5-isv-. in addition, add 1 to armour saving throws made for the bearer.
153|Command Squad Bodyguard|SM|"when a -fu- -key-chapter-key- character model within 3"" of -ua- would lose any wounds as a result of an attack made against that model, -ua- can attempt to intercept that attack. roll one d6; on a 2+ that model does not lose those wounds and -ua- suffers 1 mortal wound for each of those wounds. only one attempt can be made to intercept each attack."
157|Camo Cloak|SM|each time a ranged attack is allocated to the bearer while it is receiving the benefits of cover, add an additional 1 to any armour saving throw made against that attack.
158|Honour Guard|SM|"while a -fu- ultramarines character unit that has a wounds characteristic of 9 or less is within 3"" of -ua-, that character unit can use the look out, sir rule even if -ua- contains fewer than 3 models."
160|Centurion assault launcher|SM|while the bearer is on the battlefield, its unit has the assault launchers keyword.
161|Omniscope|SM|each time a model in -ua- makes a ranged attack, if -ua- contains a centurion sergeant, then the target does not receive the benefits of cover against that attack.
165|Smoke Launchers|AM|once per battle, instead of shooting in your shooting phase, -ma- can use its smoke launchers. until the start of your next shooting phase, when resolving an attack made with a ranged weapon against -ma-, subtract 1 from the hit roll.
165|Smoke Launchers|RaH|once per battle, instead of shooting in your shooting phase, -ma- can use its smoke launchers. until the start of your next shooting phase, when resolving an attack made with a ranged weapon against -ma-, subtract 1 from the hit roll.
165|Smoke Launchers|GK|once per battle, instead of shooting in your shooting phase, -ma- can use its smoke launchers. until the start of your next shooting phase, when resolving an attack made with a ranged weapon against -ma-, subtract 1 from the hit roll.
165|Smoke Launchers|SM|once per battle, instead of shooting in your shooting phase, -ma- can use its smoke launchers. until the start of your next shooting phase, when resolving an attack made with a ranged weapon against -ma-, subtract 1 from the hit roll.
166|Explodes|SM|irrelevant
166|Explodes|GK|irrelevant
167|Unyielding Ancient|SM|each time -ma- would lose a wound, roll one d6: on a 6, that wound is not lost.
167|Unyielding Ancient|GK|each time -ma- would lose a wound, roll one d6: on a 6, that wound is not lost.
168|Atomantic Shielding|SM|-ma- has a 5-isv-.
169|Explodes|SM|irrelevant
170|Wrecker|SM|each time -ma- makes a melee attack, if it is equipped with an ironclad combat weapon, re-roll a hit roll of 1.
171|Ironclad assault launchers|SM|the bearer has the assault launchers keyword.
174|Teleport homer|SM|irrelevant
175|Crux Terminatus|SM|every model in -ua- has a 5-isv-.
185|Turbo-boost|SM|irrelevant
187|Open-topped|SM|irrelevant
188|Explodes|SM|irrelevant
190|Explodes|SM|irrelevant
191|Self-Repair|SM|irrelevant
192|Explodes|SM|irrelevant
193|Servo-skull Hub|SM|irrelevant
194|Drop Pod Assault|SM|irrelevant
196|Airborne|TAU|irrelevant
196|Airborne|SM|irrelevant
196|Airborne|AM|irrelevant
196|Airborne|GK|irrelevant
196|Airborne|DRU|irrelevant
196|Airborne|RaH|irrelevant
197|Explodes|SM|irrelevant
198|Infernum halo-launcher|SM|each time a ranged attack made by an aircraft model is allocated to the bearer, add 1 to any armour saving throw made against that attack.
199|Supersonic|AM|irrelevant
199|Supersonic|DRU|irrelevant
199|Supersonic|SM|irrelevant
199|Supersonic|GK|irrelevant
199|Supersonic|RaH|irrelevant
199|Supersonic|TAU|irrelevant
200|Hard to Hit|AM|-era- -ma-, -s1hr-.
200|Hard to Hit|TAU|-era- -ma-, -s1hr-.
200|Hard to Hit|RaH|-era- -ma-, -s1hr-.
200|Hard to Hit|GK|-era- -ma-, -s1hr-.
200|Hard to Hit|DRU|-era- -ma-, -s1hr-.
200|Hard to Hit|SM|-era- -ma-, -s1hr-.
203|Hover Jet|GK|irrelevant
203|Hover Jet|AM|irrelevant
203|Hover Jet|SM|irrelevant
203|Hover Jet|RaH|irrelevant
205|Signum|SM|in your shooting phase, each time -ua- shoots, if it contains a devastator marine sergeant, you can select one model in -ua-. until the end of the phase, that model has a ballistic skill characteristic of 2+.
206|Armorium cherub|SM|once per battle, in your shooting phase, after -ua- has shot, one model in -ua- can immediately shoot with one of its ranged weapons again.designer’s note: we recommend placing an armorium cherub model next to the unit as a reminder, removing it once this ability has been used (an armorium cherub does not count as a model for any rules purposes).
208|Decimator Protocols|SM|models in -ua- do not suffer the penalty to hit rolls incurred for firing heavy weapons in the same turn that their unit has moved.
212|Blessing of the Omnissiah|SM|irrelevant
213|Explodes|SM|irrelevant
216|Explodes|SM|irrelevant
218|Aquila Aegis Field|SM|-ma- has a 5-isv-.
219|Data Augurs|SM|"when resolving an attack made with a ranged weapon by -ma-, if it is within 24"" of any -fu- -key-chapter-key- rhino primaris models, add 1 to the hit roll."
220|Armour of Fate|SM|-ma- has a 3-isv-. the first time -ma- is destroyed, roll one d6 at the end of the phase. on a 4+, set -ma- back up on the battlefield as close as possible to where they were destroyed and not within engagement range of any -eu- models, with d6 wounds remaining.
221|Author of the Codex|SM|irrelevant
222|Master of Battle (Aura)|SM|irrelevant
223|XIII Primarch (Aura)|SM|"you can re-roll hit rolls for attacks made by models in -fu- ultramarines core and ultramarines character units whilst their unit is within 6"" of -ma-. re-roll wound rolls of 1 for attacks made by models in -fu- ultramarines -cu-s whilst their unit is within 6"" of -ma-.’"
225|Rites of Battle (Aura)|SM|"while a -fu- imperial fists -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
226|Teleport Strike|SM|irrelevant
227|Icon of Obstinacy|SM|irrelevant
229|Chapter Master|SM|"in your command phase, select one -fu- crimson fists core or crimson fists character unit within 6"" of -ma-. until the start of your next command phase, each time a model in that unit makes an attack, you can re-roll the hit roll."
230|Oath of Rynn (Aura)|SM|"while a -fu- crimson fists -cu- is within 6"" of -ma-, add 1 to the attacks characteristic of models in that unit."
231|Armour of Heraclus|SM|-ma- has a 4-isv-. in addition, all damage suffered by marneus calgar is halved (rounding up).
232|Chapter Master|SM|"in your command phase, select one -fu- ultramarines core or ultramarines character unit within 6"" of -ma-. until the start of your next command phase, each time a model in that unit makes an attack, you can re-roll the hit roll."
233|Master Tactician|SM|irrelevant
235|Iron Halo|SM|marneus calgar in artificer armour has a 4-isv-.
236|Iron Halo|SM|-ma- has a 4-isv-.
237|Rites of Battle (Aura)|SM|"while a -fu- ultramarines -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
238|Battle-forged Heroes|SM|irrelevant
239|Hood of Hellfire|SM|irrelevant
240|Master of Prescience|SM|"at the start of the battle round, you can select one -fu- ultramarines core or ultramarines character unit within 6"" of -ma-. until the end of that battle round, when resolving an attack against that unit, -s1hr-."
241|Rosarius|SM|-ma- has a 4-isv-.
242|Inspired Retribution (Aura)|SM|"while a -fu- ultramarines core or ultramarines character unit is within 6"" of -ma-, each time a model in that unit is destroyed by a melee attack, roll one d6: on a 6, the -eu- unit that made the attack that destroyed your model suffers 1 mortal wound after it has fought."
244|Spiritual Leaders (Aura)|SM|irrelevant
245|Voice of Experience|SM|"at the start of your shooting phase, you can select one -fu- ultramarines scout unit within 3"" of -ma-; models in that unit have a ballistic skill characteristic of 2+ until the end of that phase."
247|Camo Cloak|SM|each time a ranged attack is allocated to -ma- while it is receiving the benefits of cover, add an additional 1 to any armour saving throw made against that attack.
248|Tank Commander|SM|irrelevant
249|Combat Squads|SM|irrelevant
251|Power Overload|SM|if you roll three or more hit rolls of 1 for -ma-’s lascannons or twin lascannons in the same phase, it experiences a power overload and suffers 6 mortal wounds.
252|Explodes|SM|irrelevant
253|Chapter Master|SM|"in your command phase, select one -fu- black templars core or black templars character unit within 6"" of -ma-. until the start of your next command phase, each time a model in that unit makes an attack, you can re-roll the hit roll."
258|The Armour of Faith|SM|-ma- has a 4-isv-.
260|Spiritual Leaders (Aura)|SM|irrelevant
265|Chapter Master|SM|"in your command phase, select one -fu- raven guard core or raven guard character unit within 6"" of -ma-. until the start of your next command phase, each time a model in that unit makes an attack, you can re-roll the hit roll."
266|Winged Deliverance (Aura)|SM|irrelevant
268|Iron Halo|SM|-ma- has a 4-isv-.
269|Rites of Battle (Aura)|SM|"while a -fu- salamanders -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
270|Kesare’s Mantle|SM|-ma- has a 3-isv-.
271|Forgefather|SM|"in your command phase, select one -fu- salamanders core or salamanders character unit within 6"" of -ma-. until the start of your next command phase, each time a model in that unit makes an attack with a flame or melta weapon, you can re-roll that attack’s hit roll and you can re-roll that attack’s wound roll."
272|Rites of Battle (Aura)|SM|"while a -fu- white scars -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
273|For the Khan! (Aura)|SM|"while a -fu- white scars core or white scars character unit is within 6"" of -ma-, each time a model in that unit makes a melee attack, if its unit made a charge move or performed a heroic intervention this turn, add 1 to that attack’s wound roll."
274|Iron Halo|SM|-ma- has a 4-isv-.
275|Turbo-boost|SM|irrelevant
276|Aid Unlooked For|SM|irrelevant
277|Flaming Projectiles|SM|when resolving an attack made with a ranged weapon by a model in -ua-, the target does not receive the benefit of cover.
278|Unyielding Spectres|SM|models in -ua- have a 3-isv-.
500|And They Shall Know No Fear|GK|irrelevant
501|Daemon Hunters|GK|if -ua- attacks any daemons in the fight phase, you can re-roll failed wound rolls for those attacks.
502|Rites of Banishment|GK|irrelevant
503|Teleport Strike|GK|irrelevant
508|Iron Halo|GK|-ma- has a 4-isv-.
511|Rites of Battle (Aura)|GK|"while a -fu- -key-brotherhood-key- -cu- is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
513|The Strands of Fate|GK|in your turn, you can re-roll one hit roll, wound roll or saving throw for -ma-. if you do, in their next turn your opponent can re-roll one hit roll, wound roll or saving throw for a model in their army.
515|Zone of Banishment|GK|irrelevant
519|Heroic Sacrifice|GK|irrelevant
520|Cleansing Flame|GK|irrelevant
529|Personal Teleporters|GK|irrelevant
531|Force Shielding|GK|-ma- has a 4-isv-.
532|Dreadknight teleporter|GK|the bearer has the teleporter keyword.
534|For the Greater Good|TAU|irrelevant
539|Multi-tracker|TAU|each time a ranged attack made by the bearer targets a unit containing 6 or more models, -uhr- 6 scores 1 additional hit. maximum 1 per model.
540|Shield generator|TAU|the bearer has a 4-isv-.
542|Target lock|TAU|each time the bearer makes a ranged attack, the target does not receive the benefits of light cover against that attack.
543|Velocity tracker|TAU|each time a ranged attack is made by the bearer against a unit that can fly, add 1 to that attack’s hit roll. maximum 1 per model.
550|Threat Identification Protocols|TAU|in the shooting phase, gun drones can only target the nearest visible -eu- unit. if two units are equally close, you can choose which is targeted.
553|Failure Is Not An Option (Aura)|TAU|irrelevant
555|Volley Fire (Aura)|TAU|"while a -fu- -key-sept-key- -cu- is within 6"" of -ua-’s cadre fireblade model, each time a core model in that unit makes an attack with a pulse weapon, -uhr- 6 scores one additional hit."
559|Shield Generator|TAU|-ma- has a 4-isv-.
564|Infiltrator|TAU|irrelevant
566|Defender of the Greater Good|TAU|"in your command phase, select one -fu- t’au empire core or t’au empire character unit within 6"" of -ua-’s commander shadowsun model. until the start of your next command phase, each time a core or character model in that unit makes an attack, you can re-roll the hit roll."
570|Command-link|TAU|"add 3"" to the range of -ua-’s aura abilities (to a maximum of 12""). each time a model in -ua- uses an ability in your command phase (excluding aura abilities), add 3"" to the range of that ability."
571|Shield Generator|TAU|-ma- has a 4-isv-.
574|Paradox of Duality|TAU|models in -ua- have a 5-isv-. -ea- against -ua-, -s1wr-.
575|Supreme Loyalty (Aura)|TAU|irrelevant
577|Vanguard|TAU|irrelevant
578|Structural Analyser|TAU|"in your command phase, you can select one -fu- t’au sept -cu- within 6"" of -ma- and one -eu- unit visible to -ma-. until the end of the turn, each time a model in that t’au sept -cu- makes a ranged attack against that -eu- unit, add 1 to that attack’s wound roll."
579|Fighting Retreat (Aura)|TAU|"while a -fu- t’au sept -cu- (excluding battlesuit units) is within 6"" of -ma-, that unit is eligible to shoot in a turn in which it fell back."
583|DS8 Support Turret|TAU|irrelevant
587|Stealthy Hunters|TAU|each time a ranged attack is allocated to a model in -ua- while it is receiving the benefits of cover, add an additional 1 to any armour saving throw made against that attack.
589|Voracious Predators|TAU|irrelevant
590|The Shaper Commands (Aura)|TAU|"while a -fu- kroot unit is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a hit roll of 1."
591|Wisest of Their Kind (Aura)|TAU|irrelevant
592|Infiltrators|TAU|irrelevant
594|Camouflage Fields|TAU|-ea- against -ua-, -s1hr-. each time a ranged attack is allocated to a model in -ua- while it is receiving the benefits of cover, add an additional 1 to any armour saving throw made against that attack.
595|Homing Beacon|TAU|irrelevant
596|Manta Strike|TAU|irrelevant
599|Electrowarfare Suite|TAU|while -ua-’s ghostkeel battlesuit model has any wounds remaining, each time a ranged attack targets -ua-, -s1hr-.
602|Riptide Shield Generator|TAU|-ua-’s riptide model has a 4-isv-.
607|Vanguard|TAU|irrelevant
609|Pulse Accelerator|TAU|each time a model in -ua- makes an attack with a pulse weapon, improve the armour penetration characteristic of that attack by 1.
611|Gravity Wave Projector|TAU|irrelevant
612|Explodes|TAU|irrelevant
615|Explodes|TAU|irrelevant
620|Pulse Bombs|TAU|once per turn, after -ua-’s sun shark bomber model has moved in your movement phase, you can select one unit it moved across. roll six d6s for each vehicle or monster model in that unit and roll one d6 for each other model in that unit (to a maximum of ten d6s): for each 4+, that unit suffers 1 mortal wound.
622|Plunge From the Sky|TAU|irrelevant
623|Drone Uplink|TAU|"in your command phase, you can select one sniper drone unit within 6"" of -ua-’s firesight marksman model. until the start of your next command phase:sniper drone models in that unit have a ballistic skill characteristic of 3+.each time you select a target for an attack made by a sniper drone model in that unit, you can ignore the look out, sir rule.-ea- by a sniper drone model in that unit, -uwr- 6 inflicts 1 mortal wound on the target in addition to any normal damage."
624|Marksman Stealth Field|TAU|"-ua- cannot be selected as a target for ranged attacks unless it is the closest eligible target to the firing model or is within 12"" of the firing model. in your movement phase, if -ua- does not remain stationary, it loses this ability until the start of your next movement phase."
626|Explodes|TAU|irrelevant
634|Stabilising Anchors|TAU|irrelevant
635|Walking Battleship|TAU|irrelevant
644|Tidewall Field|TAU|irrelevant
652|Shield Generator|TAU|-ma- has a 4-isv-.
653|Vengeance|TAU|each time -ma- makes an attack against an astra militarum unit, re-roll a hit roll of 1.
661|Multi-function Surveyor|TAU|irrelevant
670|Nova Reactor|TAU|irrelevant
672|R’varna Shield Generator|TAU|-ma- has a 5-isv-.
673|Nova Reactor|TAU|"in your command phase, you can use -ma-’s nova reactor. if you do, inflict 1 mortal wound on -ma- then select one of the following effects:until the start of your next command phase, -ma- has a 4-isv-.until the start of your next command phase, you can select the nova profile of weapons -ma- is equipped with.until the start of your next command phase, in each fight phase, roll one d6 for each -eu- unit within 6"" of -ma-: on a 4+, that unit suffers d3 mortal wounds."
675|Ta’unar Shield Generator|TAU|-ma- has a 5-isv-.
680|Explodes|TAU|irrelevant
694|Positional Relay (Aura)|TAU|"while a -fu- -key-sept-key- infantry unit is within 6"" of -ma-, each time that unit fights, you can re-roll one hit roll and you can re-roll one wound roll when resolving that unit’s attacks."
705|Synapse (Aura)|TYR|irrelevant
706|Instinctive Behaviour|TYR|irrelevant
707|Shadow in the Warp (Aura)|TYR|irrelevant
708|Will of the Hive Mind|TYR|in your command phase, select one -fu- -key-hive fleet-key- -cu- within synaptic link range of -ma-. until the start of your next command phase, each time a model in that unit makes an attack, re-roll a hit roll of 1.
709|Death Throes|TYR|"when -ma- is destroyed, roll one d6 before removing it from play. on a 6+, the closest -eu- unit within 6"" suffers d3 mortal wounds."
710|Psychic Barrier|TYR|-ma- has a 4-isv-.
711|Adrenal glands|TYR|irrelevant
712|Toxin sacs|TYR|the bearer gains the toxin sacs keyword. each time the bearer makes a melee attack, -uhr- 6 automatically wounds the target.
720|Blade Parry|TYR|once per turn, the first time a saving throw made against a melee attack is failed for -ma-, the damage characteristic of that attack is changed to 0.
721|Hive Commander|TYR|irrelevant
724|Alpha Leader|TYR|"in your command phase, select one -fu- -key-hive fleet-key- carnifex model within 9"" of -ma-. until the start of your next command phase, each time that model makes an attack, add 1 to that attack’s hit roll."
725|Berserk Rampage|TYR|each time -ma- fights, if it made a charge move or performed a heroic intervention this turn, then until that fight is resolved, add d3+1 to the attacks characteristic of -ma-.
726|Regeneration|TYR|irrelevant
727|Lightning Reflexes|TYR|-ma- has a 4-isv-.
730|Alpha Warrior|TYR|in your command phase, select one -fu- -key-hive fleet-key- -cu- within synaptic link range of -ma- that has not already been selected for this ability this turn. until the start of your next command phase, each time a model in that unit makes an attack, re-roll a wound roll of 1.
731|Brood Progenitor|TYR|in your command phase, select one -fu- -key-hive fleet-key- termagants unit within synaptic link range of -ma- that has not already been selected for this ability this turn. until the start of your next command phase, each time a model in that unit makes a ranged attack, add 1 to that attack’s hit roll.
733|Spawn Termagants|TYR|irrelevant
735|Lightning Reflexes|TYR|models in -ua- have a 5-isv-. models in -ua- have a 4-isv- -ema-.
737|Hail of Living Ammunition|TYR|if -ua- contains 20 or more models, you can re-roll wound rolls of 1 when it shoots.
738|Bounding Leap|TYR|irrelevant
743|Chameleonic Skin|TYR|"-ea- against -ma-, -s1hr-.while -ma- is receiving the benefits of cover, it cannot be selected as the target of a ranged attack if the attacker is more than 12"" away.-ma- has a 5-isv-."
744|Hidden Hunter|TYR|irrelevant
745|Psychic Overload|TYR|irrelevant
746|Psychic Barrier|TYR|-ma- has a 4-isv-.
748|Warp Blast|TYR|irrelevant
749|Warp Field|TYR|models in -ua- have a 4-isv-.
751|Toxic Miasma|TYR|"at the start of the fight phase, you can select one -eu- unit within 3"" of -ua-. roll one d6: on a 3+, that unit suffers 1 mortal wound and is not eligible to fight this phase until after all eligible units from your army have done so."
753|Volatile|TYR|irrelevant
755|Rapacious Hunger|TYR|irrelevant
757|Superior Chameleonic Skin|TYR|"-ea- against -ma-, -s1hr-.while -ma- is receiving the benefits of cover, it cannot be selected as the target of a ranged attack if the attacker is more than 12"" away.-ma- has a 4-isv-."
758|It's Out There (Aura)|TYR|"while an -eu- unit is within 6"" of -ma-, that -eu- unit cannot start to perform actions."
764|Death Throes|TYR|"when -ma- is destroyed, roll one d6 before removing it from play. on a 6+, the closest -eu- unit within 6"" suffers d3 mortal wounds."
767|Float Down|TYR|irrelevant
768|Floating Death|TYR|irrelevant
780|Terror from the Deep|TYR|irrelevant
782|Symbiotic Targeting|TYR|irrelevant
787|Bombardment Organism|TYR|irrelevant
792|Shrouding Spores (Aura)|TYR|"while a -fu- -key-hive fleet-key- unit that is not titanic is within 6"" of -ma-, -era- that unit, -s1hr-."
793|Enhanced Toxic Miasma|TYR|at the end of the fight phase, roll one d6 for each -eu- unit within engagement range of -ma-: on a 4+, that unit suffers d3 mortal wounds.
794|Prey Adaption|TYR|"if an -eu- model is destroyed within 3"" of -ma-, then at the end of that phase, -ma- gains the following ability until the end of the battle: ‘prey adaption (aura): while a -fu- -key-hive fleet-key- unit is within 6"" of -ma-, each time a model in that unit makes an attack, re-roll a wound roll of 1.’"
796|Digestion Spine|TYR|if any -eu- models are destroyed as a result of -ma-’s thorax spine-maw ability, at the end of the turn -ma- gains the following ability until the end of the battle: ‘regenerative physiology: each time -ma- would lose a wound, roll one d6; on a 5+, that wound is not lost.’
797|Leaper-killer|TYR|irrelevant
798|Floating Death|TYR|irrelevant
799|Living Bombs|TYR|irrelevant
801|Carapace Chitin Rams|TYR|irrelevant
804|Death Throes|TYR|irrelevant
806|Frenzied Metabolism|TYR|the first time -ma- is selected to shoot in each of your shooting phases, you can use this ability. if you do, -ma- suffers d3 mortal wounds, and until the end of the phase, each time -ma- makes a ranged attack, add 1 to that attack’s wound roll.
809|Bio-titan Warp Field|TYR|irrelevant
