id|name|faction_id|source_id|role|unit_composition|Cost|cost_per_unit
20|Tankbustas|ORK|46.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 8</b>. If this unit contains 11 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: rokkit launcha.||False
21|Nobz|ORK|46.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: slugga; choppa; stikkbombs.||False
22|Nob with Waaagh! Banner|ORK|46.0|Elites|A Nob with Waaagh! Banner is equipped with: kustom shoota; Waaagh! banner; stikkbombs.||False
24|Meganobz|ORK|46.0|Elites|If this unit contains 4 or more models, it has <b>Power Rating 12</b>. If this unit contains 7 or more models, it has <b>Power Rating 18</b>. Every model is equipped with: kustom shoota; power klaw; stikkbombs.||False
25|Kommandos|ORK|46.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 8</b>. If this unit contains 11 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: slugga; choppa; stikkbombs.||False
26|Trukk|ORK|46.0|Dedicated Transport|A Trukk is equipped with: big shoota.||False
27|Stormboyz|ORK|46.0|Fast Attack|If this unit contains 6 or more models, it has <b>Power Rating 6</b>. If this unit contains 11 or more models, it has <b>Power Rating 9</b>. Every model is equipped with: slugga; choppa; stikkbombs.||False
28|Deffkoptas|ORK|46.0|Fast Attack|If this unit contains 4 or more models, it has <b>Power Rating 16</b>. Every model is equipped with: kopta rokkits; slugga; spinnin’ blades; stikkbombs.||False
29|Dakkajet|ORK|46.0|Flyers|A Dakkajet is equipped with: 4 supa-shootas.||False
30|Burna-bommer|ORK|46.0|Flyers|A Burna-bommer is equipped with: 2 burna bombs; 2 supa-shootas; twin big shoota.||False
31|Blitza-bommer|ORK|46.0|Flyers|A Blitza-bommer is equipped with: big shoota; 2 boom bombs; 2 supa-shootas.||False
32|Wazbom Blastajet|ORK|46.0|Flyers|A Wazbom Blastajet is equipped with: smasha gun; 2 wazbom mega-kannons; stikkbomb flinga.||False
33|Warbikers|ORK|46.0|Fast Attack|If this unit contains 4 or more models, it has <b>Power Rating 8</b>. If this unit contains 7 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: 2 dakkaguns.||False
34|Wartrakks|ORK|94.0|Fast Attack|This unit contains 1 Wartrakk. It can additionally contain up to 2 Wartrakks (<b>Power Rating +6</b>), or up to 4 Wartrakks (<b>Power Rating +11</b>). Every model is equipped with: twin big shoota.||False
35|Skorchas|ORK|94.0|Fast Attack|This unit contains 1 Skorcha. It can additionally contain up to 2 Skorchas (<b>Power Rating +6</b>), or up to 4 Skorchas (<b>Power Rating +11</b>). Every model is equipped with: skorcha.||False
36|Warbuggies|ORK|94.0|Fast Attack|This unit contains 1 Warbuggy. It can additionally contain up to 2 Warbuggies (<b>Power Rating +5</b>), or up to 4 Warbuggies (<b>Power Rating +10</b>). Every model is equipped with: twin big shoota.||False
37|Big Gunz|ORK|94.0|Heavy Support|This unit contains 1 Big Gun and 2 grot krew. It can additionally contain up to 5 Big Gunz (<b>Power Rating +1</b> each), with 2 grot krew each. Every Big Gun is equipped with: kannon.||False
38|Mek Gunz|ORK|46.0|Heavy Support|If this unit contains 2 models it has <b>Power Rating 4</b>. If this unit contains 3 models it has <b>Power Rating 6</b>. Every model is equipped with: smasha gun.||False
39|Battlewagon|ORK|46.0|Heavy Support|A Battlewagon has no equipment.||False
40|Deff Dreads|ORK|46.0|Heavy Support|If this unit contains 2 models it has <b>Power Rating 12</b>. If this unit contains 3 models it has <b>Power Rating 18</b>. Every model is equipped with: 2 big shootas, 2 dread klaws.||False
41|Killa Kans|ORK|46.0|Heavy Support|If this unit contains 4 or more models, it has <b>Power Rating 14</b>. Every model is equipped with: big shoota, kan klaw.||False
42|Morkanaut|ORK|46.0|Lords of War|A Morkanaut is equipped with: kustom mega-blasta; kustom mega-zappa; 2 rokkit launchas; 2 twin big shootas; klaw of Gork (or possibly Mork).||False
43|Gorkanaut|ORK|46.0|Lords of War|A Gorkanaut is equipped with: deffstorm mega-shoota; 2 rokkit launchas; skorcha; 2 twin big shootas; klaw of Gork (or possibly Mork).||False
44|Lootas|ORK|46.0|Heavy Support|This unit must contain 1 Spanner for every 4 Lootas it contains. If this unit contains 6 or more models, it has <b>Power Rating 8</b>. If this unit contains 11 or more models, it has <b>Power Rating 12</b>. Every Spanner is equipped with: big shoota. Every Loota is equipped with: deffgun.||False
45|Flash Gitz|ORK|46.0|Heavy Support|If this unit contains 6 or more models, it has <b>Power Rating 14</b>. Every model is equipped with: snazzgun; stikkbombs.||False
46|Stompa|ORK|46.0|Lords of War|A Stompa is equipped with: 3 big shootas; deffkannon; skorcha; supa-gatler; supa-rokkits; twin big shoota; mega-choppa.||False
47|Zhadsnark da Ripper|ORK|145.0|HQ|Zhadsnark da Ripper is equipped with: 2 big shootas; slugga; Da Pain Klaw; stikkbombs.||False
48|Mek Boss Buzzgob|ORK|146.0|HQ|"Mek Boss Buzzgob is equipped with: slugga; big choppa: mek arms; stikkbombs. Your army can only include one <span class=""tooltip00314"" data-tooltip-content=""#tooltip_content00314"" data-tooltip-anchor=""#tooltip_content00314""><span class=""kwb"">MEK</span> <span class=""kwb"">BOSS</span> <span class=""kwb"">BUZZGOB</span></span> model."|100.0|True
49|Grot Tanks|ORK|146.0|Fast Attack|If this unit contains 5-8 models, it has <b>Power Rating 16</b>. Every model is equipped with: big shoota.||False
50|Grot Mega-tank|ORK|146.0|Fast Attack|A Grot Mega-tank is equipped with: 3 big shootas; 2 twin big shootas; 1 shoota.||False
51|Squiggoth|ORK|146.0|Heavy Support|A Squiggoth is equipped with: gorin’ horns.||False
52|Meka-Dread|ORK|146.0|Heavy Support|A Meka-Dread is equipped with: 1 killkannon; 1 dread rippa klaw.||False
53|Lifta Wagon|ORK|145.0|Heavy Support|A Lifta Wagon is equipped with: lifta-droppa.||False
54|Big Trakk|ORK|146.0|Heavy Support|A Big Trakk is equipped with: 2 big shootas.||False
55|Kannonwagon|ORK|146.0|Heavy Support|A Kannonwagon is equipped with: 1 supa-kannon.||False
56|Kill Tank|ORK|146.0|Lords of War|A Kill Tank is equipped with: bursta kannon; skorcha; twin big shoota; reinforced ram.||False
57|Chinork Warkopta|ORK|145.0|Flyers|A Chinork Warkopta is equipped with: big shoota; 2 deffguns.||False
58|Kustom Stompa|ORK|146.0|Lords of War|A Kustom Stompa is equipped with: 3 big shootas; deffkannon; gaze of Mork; kustom supa-rokkits; skorcha; supa-gatler; twin big shoota; mega-choppa.||False
59|Gargantuan Squiggoth|ORK|146.0|Lords of War|A Gargantuan Squiggoth is equipped with: huge tusks.||False
60|Captain|SM|139.0|HQ|A Captain is equipped with: bolt pistol; master-crafted boltgun; Astartes chainsword; frag grenades; krak grenades.||False
61|Captain in Terminator Armour|SM|139.0|HQ|A Captain in Terminator Armour is equipped with: storm bolter; power sword.||False
63|Captain in Gravis Armour|SM|176.0|HQ|A Captain in Gravis Armour is equipped with: boltstorm gauntlet; Astartes chainsword.||False
64|Captain on Bike|SM|139.0|HQ|A Captain on Bike is equipped with: bolt pistol; twin boltgun; Astartes chainsword; frag grenades; krak grenades.||False
65|Librarian|SM|139.0|HQ|A Librarian is a single model equipped with: bolt pistol; force stave; frag grenades; krak grenades.||False
66|Librarian in Terminator Armour|SM|139.0|HQ|A Librarian in Terminator Armour is equipped with: force stave.||False
67|Librarian on Bike|SM|96.0|HQ|A Librarian on Bike is a single model equipped with: bolt pistol; twin boltgun; force stave; frag grenades; krak grenades.||False
68|Techmarine|SM|139.0|HQ|A Techmarine is equipped with: bolt pistol; Omnissian power axe; servo-arm; frag grenades; krak grenades.||False
69|Servitors|SM|139.0|Elites|Every model is equipped with: servo-arm.|30.0|True
70|Techmarine on Bike|SM|96.0|HQ|A Techmarine on Bike is a single model equipped with: bolt pistol; twin boltgun; power axe; servo-arm; frag grenades; krak grenades.||False
71|Chaplain|SM|139.0|HQ|A Chaplain is equipped with: bolt pistol; crozius arcanum; frag grenades; krak grenades.||False
72|Chaplain in Terminator Armour|SM|139.0|HQ|A Chaplain in Terminator Armour is equipped with: storm bolter; crozius arcanum.||False
73|Chaplain on Bike|SM|96.0|HQ|A Chaplain on Bike is a single model equipped with: bolt pistol; twin boltgun; crozius arcanum; frag grenades; krak grenades.||False
74|Apothecary|SM|139.0|Elites|An Apothecary is equipped with: bolt pistol; Astartes chainsword; frag grenades; krak grenades.||False
75|Apothecary on Bike|SM|96.0|Elites|An Apothecary on Bike is a single model equipped with: bolt pistol; twin boltgun; chainsword; frag grenades; krak grenades.||False
76|Primaris Lieutenant|SM|139.0|HQ|A Primaris Lieutenant is equipped with: bolt pistol; master-crafted auto bolt rifle; frag grenades; krak grenades.||False
77|Company Ancient|SM|139.0|Elites|A Company Ancient is equipped with: bolt pistol; frag grenades; krak grenades.||False
78|Company Ancient on Bike|SM|96.0|Elites|A Company Ancient on Bike is a single model armed with a bolt pistol, frag grenades and krak grenades. His Space Marine bike is equipped with a twin boltgun.||False
79|Primaris Ancient|SM|176.0|Elites|A Primaris Ancient is equipped with: bolt pistol; bolt rifle; frag grenades; krak grenades.||False
80|Company Champion|SM|139.0|Elites|A Company Champion is equipped with: bolt pistol; master-crafted power sword; frag grenades; krak grenades; combat shield.||False
81|Company Champion on Bike|SM|96.0|Elites|A Company Champion on Bike is a single model equipped with: bolt pistol; twin boltgun; master-crafted power sword; frag grenades; krak grenades. It has a combat shield.||False
82|Company Veterans|SM|139.0|Elites|If this unit contains 3 or more models, it has <b>Power Rating 8</b>. Every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
83|Company Veterans on Bikes|SM|96.0|Elites|This unit contains 1 Veteran Biker Sergeant and 1 Space Marine Veteran Biker. It can additionally contain up to 3 Space Marine Veteran Bikers (<b>Power Rating +7</b>). Every model is equipped with: bolt pistol; twin boltgun; chainsword; frag grenades; krak grenades.||False
84|Tactical Squad|SM|139.0|Troops|If this unit contains 6 or more models, it has <b>Power Rating 10</b>. Every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
85|Scout Squad|SM|139.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 8</b>. Every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
86|Intercessor Squad|SM|139.0|Troops|If this unit contains 6 or more models, it has <b>Power Rating 10</b>. Every model is equipped with: bolt pistol; bolt rifle; frag grenades; krak grenades.||False
87|Imperial Space Marine|SM|96.0|Elites|"An Imperial Space Marine is a single model equipped with: disintegration combi-gun; disintegration pistol; frag grenades; krak grenades. Only one <span class=""tooltip00324"" data-tooltip-content=""#tooltip_content00324"" data-tooltip-anchor=""#tooltip_content00324""><span class=""kwb"">IMPERIAL</span> <span class=""kwb"">SPACE</span> <span class=""kwb"">MARINE</span></span> model can be included in your army."||False
88|Honour Guard|SM|77.0|Elites|This unit contains 2 Honour Guard. Every model is equipped with: boltgun; bolt pistol; power axe; frag grenades; krak grenades.|50.0|True
89|Chapter Ancient|SM|77.0|Elites|A Chapter Ancient is a single model equipped with: power sword; frag grenades; krak grenades. You can only include one of this model in your army.||False
90|Chapter Champion|SM|77.0|Elites|A Chapter Champion is a single model equipped with: champion’s blade; master-crafted power sword; frag grenades; krak grenades. You can only include one of this model in your army.||False
91|Centurion Assault Squad|SM|139.0|Elites|If this unit contains 4 or more models, it has <b>Power Rating 18</b>. Every model is equipped with: 2 flamers; siege drills; Centurion assault launchers.||False
92|Sternguard Veteran Squad|SM|139.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: bolt pistol; special issue boltgun; frag grenades; krak grenades.||False
93|Vanguard Veteran Squad|SM|139.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: bolt pistol; Astartes chainsword; frag grenades; krak grenades.||False
94|Dreadnought|SM|139.0|Elites|A Dreadnought is equipped with: assault cannon; storm bolter; Dreadnought combat weapon.||False
95|Venerable Dreadnought|SM|139.0|Elites|A Venerable Dreadnought is equipped with: assault cannon; storm bolter; Dreadnought combat weapon.||False
96|Contemptor Dreadnought|SM|139.0|Elites|A Contemptor Dreadnought is equipped with: combi-bolter; multi-melta; Dreadnought combat weapon.||False
97|Ironclad Dreadnought|SM|139.0|Elites|An Ironclad Dreadnought is equipped with: meltagun; storm bolter; Ironclad combat weapon; seismic hammer.||False
98|Terminator Squad|SM|139.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 18</b>. The Terminator Sergeant is equipped with: storm bolter; power sword. Every Terminator is equipped with: storm bolter; power fist.||False
99|Terminator Assault Squad|SM|139.0|Elites|If this unit contains 6 or more models, it has <b>Power Rating 18</b>. Every model is equipped with: thunder hammer; storm shield.||False
102|Assault Squad|SM|139.0|Fast Attack|If this unit contains 6 or more models, it has Power <b>Rating 10</b>. Every model is equipped with: bolt pistol; Astartes chainsword; frag grenades; krak grenades.||False
103|Inceptor Squad|SM|139.0|Fast Attack|If this unit contains 4 or more models, it has <b>Power Rating 14</b>. Every model is equipped with: 2 assault bolters.||False
104|Scout Bike Squad|SM|139.0|Fast Attack|If this unit contains between 4 and 6 models, it has <b>Power Rating 9</b>. If it contains 7 or more models, it has Power <b>Rating 13</b>. Every model is equipped with: Astartes shotgun; bolt pistol; twin boltgun; combat knife; frag grenades, krak grenades.||False
105|Bike Squad|SM|139.0|Fast Attack|If this unit contains between 3 and 5 Space Marine Biker models, it has <b>Power Rating 9</b>. If this unit contains 6 or more Space Marine Biker models, it has <b>Power Rating 12</b>. If this unit contains an Attack Bike model, it has <b>Power Rating +2</b>.<br>&nbsp;• The Biker Sergeant and every Space Marine Biker is equipped with: bolt pistol; twin boltgun; frag grenades; krak grenades.<br>&nbsp;• An Attack Bike is equipped with: bolt pistol; heavy bolter; twin boltgun; frag grenades; krak grenades.||False
106|Attack Bike Squad|SM|139.0|Fast Attack|If this unit contains 2 models, it has <b>Power Rating 4</b>. If this unit contains 3 models, it has <b>Power Rating 6</b>. Every model is equipped with: bolt pistol; heavy bolter; twin boltgun; frag grenades; krak grenades.||False
107|Land Speeder Storm|SM|139.0|Dedicated Transport|A Land Speeder Storm is equipped with: cerberus launcher; heavy bolter.||False
108|Land Speeders|SM|139.0|Fast Attack|If this unit contains 2 models, it has <b>Power Rating 6</b>. If this unit contains 3 models, it has <b>Power Rating 9</b>. Every model is equipped with: heavy bolter.||False
109|Rhino|SM|139.0|Dedicated Transport|A Rhino is equipped with: storm bolter.||False
110|Rhino Primaris|SM|96.0|HQ|A Rhino Primaris is a single model equipped with: twin plasma gun. It has an orbital comms array.||False
111|Razorback|SM|139.0|Dedicated Transport|A Razorback is equipped with: twin heavy bolter.||False
112|Drop Pod|SM|139.0|Dedicated Transport|A Drop Pod is equipped with: storm bolter.||False
113|Stormhawk Interceptor|SM|139.0|Flyers|A Stormhawk Interceptor is equipped with: 2 assault cannons; skyhammer missile launcher; las-talon.||False
114|Stormtalon Gunship|SM|139.0|Flyers|A Stormtalon Gunship is equipped with: skyhammer missile launcher; twin assault cannon.||False
115|Devastator Squad|SM|139.0|Heavy Support|If this unit contains 6 or more models, it has <b>Power Rating 12</b>. Every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
116|Centurion Devastator Squad|SM|139.0|Heavy Support|If this unit contains 4 or more models, it has <b>Power Rating 22</b>. Every model is equipped with: grav-cannon; hurricane bolter.||False
117|Hellblaster Squad|SM|139.0|Heavy Support|If this unit contains 6 or more models, it has <b>Power Rating 16</b>. Every model is equipped with: bolt pistol; plasma incinerator; frag grenades; krak grenades.||False
118|Thunderfire Cannon|SM|139.0|Heavy Support|The Thunderfire Cannon is equipped with: thunderfire cannon. The Techmarine Gunner is equipped with: bolt pistol; flamer; plasma cutter; 2 servo-arms.|120.0|True
119|Predator Destructor|SM|139.0|Heavy Support|A Predator Destructor is equipped with: Predator autocannon.||False
120|Whirlwind|SM|139.0|Heavy Support|A Whirlwind is equipped with: Whirlwind vengeance launcher.||False
121|Vindicator|SM|139.0|Heavy Support|A Vindicator is equipped with: demolisher cannon.||False
122|Hunter|SM|139.0|Heavy Support|A Hunter is equipped with: skyspear missile launcher.||False
123|Stalker|SM|139.0|Heavy Support|A Stalker is equipped with: 2 Icarus stormcannons.||False
124|Stormraven Gunship|SM|139.0|Flyers|A Stormraven Gunship is equipped with: 2 stormstrike missile launchers; twin assault cannon; typhoon missile launcher.||False
125|Land Raider|SM|139.0|Heavy Support|A Land Raider is a equipped with: twin heavy bolter; 2 twin lascannons.||False
126|Land Raider Crusader|SM|139.0|Heavy Support|A Land Raider Crusader is equipped with: 2 hurricane bolters; twin assault cannon.||False
127|Land Raider Redeemer|SM|139.0|Heavy Support|A Land Raider Redeemer is equipped with: 2 flamestorm cannons; twin assault cannon.||False
128|Land Raider Excelsior|SM|96.0|HQ|A Land Raider Excelsior is a single model equipped with: grav-cannon and grav-amp; 2 twin lascannons.||False
129|Roboute Guilliman|SM|77.0|Lords of War|Roboute Guilliman is a single model equipped with: the Emperor’s Sword; the Hand of Dominion. You can only include one of this model in your army.||False
130|Captain Lysander|SM|84.0|HQ|Captain Lysander is a single model equipped with: Fist of Dorn. You can only include one of this model in your army.||False
131|Pedro Kantor|SM|84.0|HQ|Pedro Kantor is a single model equipped with: Dorn’s Arrow; power fist; frag grenades; krak grenades. You can only include one of this model in your army.||False
132|Marneus Calgar|SM|77.0|HQ|Marneus Calgar is a single model equipped with: the Gauntlets of Ultramar. You can only include one of this model in your army.||False
133|Marneus Calgar in Artificer Armour|SM|96.0|HQ|"Marneus Calgar in Artificer Armour is a single model equipped with: Gauntlets of Ultramar; relic blade. Only one <span class=""tooltip00333"" data-tooltip-content=""#tooltip_content00333"" data-tooltip-anchor=""#tooltip_content00333""><span class=""kwb"">MARNEUS</span> <span class=""kwb"">CALGAR</span></span> model can be included in your army."||False
134|Captain Sicarius|SM|77.0|HQ|Captain Sicarius is a single model equipped with: the Talassarian Tempest Blade; artisan plasma pistol; frag grenades; krak grenades. You can only include one of this model in your army.||False
135|Chief Librarian Tigurius|SM|77.0|HQ|Chief Librarian Tigurius is a single model equipped with: bolt pistol; the Rod of Tigurius; frag grenades; krak grenades. You can only include one of this model in your army.||False
136|Chaplain Cassius|SM|77.0|HQ|Chaplain Cassius is a single model equipped with: Infernus; artificer crozius; frag grenades; krak grenades. You can only include one of this model in your army.||False
137|Sergeant Telion|SM|77.0|HQ|Sergeant Telion is a single model equipped with: Quietus; bolt pistol; frag grenades; krak grenades. You can only include one of this model in your army.||False
138|Sergeant Chronus|SM|77.0|HQ|Sergeant Chronus is a single model equipped with: bolt pistol; servo-arm; frag grenades; krak grenades. You can only include one of this model in your army.||False
139|Tyrannic War Veterans|SM|77.0|Elites|This unit contains 1 Veteran Sergeant and 3 Tyrannic War Veterans. It can additionally contain up to 6 Tyrannic War Veterans (<b>Power Rating +5</b>). Every model is equipped with: bolt pistol; special issue boltgun; frag grenades; krak grenades.||False
140|Terminus Ultra|SM|96.0|Lords of War|A Terminus Ultra is a single model equipped with: 2 lascannons; 3 twin lascannons.||False
141|High Marshal Helbrecht|SM|162.0|HQ|"High Marshal Helbrecht is equipped with: Ferocity; attendant thralls’ fists; Sword of the High Marshals; frag grenades; krak grenades. Your army can only include one <span class=""tooltip00334"" data-tooltip-content=""#tooltip_content00334"" data-tooltip-anchor=""#tooltip_content00334""><span class=""kwb"">HIGH</span> <span class=""kwb"">MARSHAL</span> <span class=""kwb"">HELBRECHT</span></span> model."||False
142|The Emperor’s Champion|SM|162.0|HQ|"The Emperor’s Champion is equipped with: bolt pistol; Black Sword; frag grenades; krak grenades. Your army can only include one <span class=""tooltip00335"" data-tooltip-content=""#tooltip_content00335"" data-tooltip-anchor=""#tooltip_content00335""><span class=""kwb"">EMPEROR’S</span> <span class=""kwb"">CHAMPION</span></span> model."||False
143|Chaplain Grimaldus|SM|162.0|HQ|"• Chaplain Grimaldus is equipped with: plasma pistol; artificer crozius; frag grenades; krak grenades.<br>• One Cenobyte Servitor is equipped with: Banner of Fallen Crusaders.<br>• One Cenobyte Servitor is equipped with: Remnant of the Fallen Temple.<br>• One Cenobyte Servitor is equipped with: Sceptre of Anointing.<br>Your army can only include one <span class=""tooltip00336"" data-tooltip-content=""#tooltip_content00336"" data-tooltip-anchor=""#tooltip_content00336""><span class=""kwb"">GRIMALDUS</span></span> unit."||False
145|Crusader Squad|SM|162.0|Troops|If this unit contains between 6 and 10 models, it has <b>Power Rating 10</b>. If this unit contains between 11 and 15 models, it has <b>Power Rating 15</b>. If this unit contains 16 or more models, it has <b>Power Rating 20</b>. Every model is equipped with: boltgun; bolt pistol; frag grenades; krak grenades.||False
146|Kayvaan Shrike|SM|82.0|HQ|Kayvaan Shrike is a single model equipped with: Blackout; the Raven’s Talons; frag grenades; krak grenades. You can only include one of this model in your army.||False
147|Vulkan He’stan|SM|85.0|HQ|Vulkan He’stan is a single model equipped with: bolt pistol; Gauntlet of the Forge; Spear of Vulkan; frag grenades; krak grenades. You can only include one of this model in your army.||False
148|Kor’sarro Khan|SM|78.0|HQ|Kor’sarro Khan is a single model equipped with: bolt pistol; Moonfang; frag grenades; krak grenades. You can only include one of this model in your army.||False
149|Kor’sarro Khan on Moondrakkan|SM|96.0|HQ|"Kor’sarro Khan on Moondrakkan is a single model equipped with: bolt pistol; twin boltgun; Moonfang; frag grenades; krak grenades. Only one <span class=""tooltip00337"" data-tooltip-content=""#tooltip_content00337"" data-tooltip-anchor=""#tooltip_content00337""><span class=""kwb"">KOR’SARRO</span> <span class=""kwb"">KHAN</span></span> model can be included in your army."||False
150|Damned Legionnaires|SM|104.0|Elites|This unit contains 1 Legionnaire Sergeant and 4 Legionnaires. It can additionally contain up to 5 Legionnaires (<b>Power Rating +6</b>). Every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
243|Fortress of Redemption|UN|167.0|Fortifications|A Fortress of Redemption is equipped with: Redemption lascannons; Redemption missile silo.||False
373|Kaldor Draigo|GK|13.0|HQ|"Kaldor Draigo is equipped with: The Titansword; Sanctum Sigilum; master-crafted storm bolter; frag grenades; krak grenades. Your army can only include one <span class=""tooltip00086"" data-tooltip-content=""#tooltip_content00086"" data-tooltip-anchor=""#tooltip_content00086""><span class=""kwb"">KALDOR</span> <span class=""kwb"">DRAIGO</span></span> model."||False
374|Grand Master Voldus|GK|13.0|HQ|"Grand Master Voldus is equipped with: master-crafted storm bolter; Malleus Argyrum; frag grenades; krak grenades. Your army can only include one <span class=""tooltip00084"" data-tooltip-content=""#tooltip_content00084"" data-tooltip-anchor=""#tooltip_content00084""><span class=""kwb"">GRAND</span> <span class=""kwb"">MASTER</span> <span class=""kwb"">VOLDUS</span></span> model."||False
375|Grand Master|GK|13.0|HQ|A Grand Master is equipped with: master-crafted storm bolter; Nemesis force halberd; frag grenades; krak grenades.||False
376|Brother-Captain|GK|13.0|HQ|A Brother-Captain is equipped with: master-crafted storm bolter; Nemesis force sword; frag grenades; krak grenades.||False
377|Brother-Captain Stern|GK|13.0|HQ|"Brother-Captain Stern is equipped with: master-crafted storm bolter; Nemesis force sword; frag grenades; krak grenades. Your army can only include one <span class=""tooltip00044"" data-tooltip-content=""#tooltip_content00044"" data-tooltip-anchor=""#tooltip_content00044""><span class=""kwb"">BROTHER-CAPTAIN</span> <span class=""kwb"">STERN</span></span> model."||False
378|Brotherhood Ancient|GK|13.0|Elites|A Brotherhood Ancient is equipped with: storm bolter; frag grenades; krak grenades.||False
379|Brotherhood Champion|GK|13.0|HQ|A Brotherhood Champion is equipped with: storm bolter; Nemesis force sword; frag grenades; krak grenades.||False
380|Castellan Crowe|GK|13.0|HQ|"Castellan Crowe is equipped with: storm bolter; Black Blade of Antwyr; frag grenades; krak grenades. Your army can only include one <span class=""tooltip00066"" data-tooltip-content=""#tooltip_content00066"" data-tooltip-anchor=""#tooltip_content00066""><span class=""kwb"">CASTELLAN</span> <span class=""kwb"">CROWE</span></span> model."||False
