datasheet_id|line|name|WS|BS|S|T|W|A|Sv|Cost|cost_description|models_per_unit|cost_including_wargear
78|1|company ancient on bike|3+|3+|4|5|5|3|3+|88.0||1|False
79|1|primaris ancient|3+|3+|4|4|5|4|3+|80.0||1|False
80|1|company champion|2+|3+|4|4|4|4|3+|55.0||1|False
81|1|company champion on bike|2+|3+|4|5|5|4|3+|80.0||1|False
82|1|company veteran|3+|3+|4|4|2|2|3+|20.0||1-4|False
82|2|company veteran sergeant|3+|3+|4|4|2|3|3+|20.0||1|False
83|1|space marine veteran biker|3+|3+|4|5|2|2|3+|34.0||1-4|False
83|2|veteran biker sergeant|3+|3+|4|5|2|3|3+|34.0||1|False
84|1|space marine|3+|3+|4|4|2|1|3+|18.0||4-9|False
84|2|space marine sergeant|3+|3+|4|4|2|2|3+|18.0||1|False
85|1|scout|3+|3+|4|4|1|1|4+|14.0||4-9|False
85|2|scout sergeant|3+|3+|4|4|1|2|4+|14.0||1|False
86|1|intercessor|3+|3+|4|4|2|2|3+|20.0||4-9|False
86|2|intercessor sergeant|3+|3+|4|4|2|3|3+|20.0||1|False
87|1|imperial space marine|3+|3+|4|4|4|3|3+|60.0||1|False
88|1|honour guard|3+|3+|4|4|2|2|2+|||2|False
89|1|chapter ancient|3+|3+|4|4|4|3|2+|100.0||1|False
90|1|chapter champion|2+|3+|4|4|4|5|2+|75.0||1|False
91|1|assault centurion|3+|3+|5|5|4|3|2+|55.0||2-5|False
91|2|assault centurion sergeant|3+|3+|5|5|4|4|2+|55.0||1|False
92|1|sternguard veteran|3+|3+|4|4|2|2|3+|20.0||4-9|False
92|2|sternguard veteran sergeant|3+|3+|4|4|2|3|3+|20.0||1|False
93|1|vanguard veteran|3+|3+|4|4|2|2|3+|19.0||4-9|False
93|2|vanguard veteran sergeant|3+|3+|4|4|2|3|3+|19.0||1|False
94|1|dreadnought|3+|3+|6|7|8|4|3+|120.0||1|False
95|1|venerable dreadnought|2+|2+|6|7|8|4|3+|135.0||1|False
96|1|contemptor dreadnought|3+|3+|7|7|9|4|3+|150.0||1|False
97|1|ironclad dreadnought|3+|3+|6|8|8|4|3+|135.0||1|False
98|1|terminator|3+|3+|4|4|3|2|2+|38.0||4-9|False
98|2|terminator sergeant|3+|3+|4|4|3|3|2+|38.0||1|False
99|1|assault terminator|3+|3+|4|4|3|2|2+|33.0||4-9|False
99|2|assault terminator sergeant|3+|3+|4|4|3|3|2+|33.0||1|False
102|1|assault marine|3+|3+|4|4|2|1|3+|18.0||4-9|False
102|2|assault marine sergeant|3+|3+|4|4|2|2|3+|18.0||1|False
103|1|inceptor|3+|3+|4|5|3|2|3+|40.0||2-5|False
103|2|inceptor sergeant|3+|3+|4|5|3|3|3+|40.0||1|False
104|1|scout biker|3+|3+|4|5|2|1|4+|30.0||2-8|False
104|2|scout biker sergeant|3+|3+|4|5|2|2|4+|30.0||1|False
105|1|space marine biker|3+|3+|4|5|3|1|3+|30.0||2-15|False
105|2|space marine biker|3+|3+|4|5|3|1|3+|30.0||2-7|False
105|3|biker sergeant|3+|3+|4|5|3|2|3+|30.0||1|False
105|4|attack bike|3+|3+|4|5|4|2|3+|30.0||0-1|False
106|1|attack bike|3+|3+|4|5|4|2|3+|50.0||1-3|False
107|1|land speeder storm|3+|3+|4|6|7|2|4+|50.0||1|False
108|1|land speeder|3+|3+|4|6|6|2|3+|60.0||1-3|False
109|1|rhino|6+|3+|6|7|10|3|3+|80.0||1|False
110|1|rhino primaris|6+|3+|6|7|10|3|3+|52.0||1|False
111|1|razorback|6+|3+|6|7|10|3|3+|100.0||1|False
112|1|drop pod|-|3+|6|6|8|-|3+|70.0||1|False
113|1|stormhawk interceptor|6+|3+|6|7|10|3|3+|185.0||1|False
114|1|stormtalon gunship|6+|3+|6|6|10|3|3+|165.0||1|False
115|1|devastator marine|3+|3+|4|4|2|1|3+|18.0||4-9|False
115|2|devastator marine sergeant|3+|3+|4|4|2|2|3+|18.0||1|False
116|1|devastator centurion|3+|3+|5|5|4|3|2+|55.0||2-5|False
116|2|devastator centurion sergeant|3+|3+|5|5|4|4|2+|55.0||1|False
117|1|hellblaster|3+|3+|4|4|2|2|3+|33.0||4-9|False
117|2|hellblaster sergeant|3+|3+|4|4|2|3|3+|33.0||1|False
118|1|thunderfire cannon|6+|2+|3|6|4|1|2+|||1|False
118|2|techmarine gunner|3+|2+|4|4|4|3|2+|||1|False
119|1|predator destructor|6+|3+|6|7|11|3|3+|130.0||1|False
120|1|whirlwind|6+|3+|6|7|11|3|3+|125.0||1|False
121|1|vindicator|6+|3+|6|8|11|3|3+|120.0||1|False
122|1|hunter|6+|3+|6|8|11|3|3+|110.0||1|False
123|1|stalker|6+|3+|6|8|11|3|3+|115.0||1|False
124|1|stormraven gunship|6+|3+|8|7|14|6|3+|260.0||1|False
125|1|land raider|6+|3+|8|8|16|6|2+|245.0||1|False
126|1|land raider crusader|6+|3+|8|8|16|6|2+|245.0||1|False
127|1|land raider redeemer|6+|3+|8|8|16|6|2+|245.0||1|False
128|1|land raider excelsior|6+|3+|8|8|16|6|2+|200.0||1|False
129|1|roboute guilliman|2+|2+|6|6|9|6|2+|300.0||1|False
130|1|captain lysander|2+|2+|4|4|6|4|2+|130.0||1|False
131|1|pedro kantor|2+|2+|4|4|6|5|2+|145.0||1|False
132|1|marneus calgar|2+|2+|4|5|8|6|2+|180.0||1|False
133|1|marneus calgar in artificer armour|2+|2+|4|4|6|5|2+|235.0||1|True
134|1|captain sicarius|2+|2+|4|4|5|4|2+|115.0||1|True
135|1|chief librarian tigurius|3+|3+|4|4|5|4|3+|135.0||1|True
136|1|chaplain cassius|2+|3+|4|5|4|3|3+|95.0||1|True
137|1|sergeant telion|3+|2+|4|4|4|2|4+|50.0||1|False
138|1|sergeant chronus|3+|2+|4|4|4|2|3+|35.0||1|False
139|1|tyrannic war veteran|3+|3+|4|4|2|2|3+|17.0||3-9|False
139|2|veteran sergeant|3+|3+|4|4|2|3|3+|17.0||1|False
140|1|terminus ultra|6+|3+|8|8|16|6|2+|250.0||1|False
141|1|high marshal helbrecht|2+|2+|4|4|8|6|2+|160.0||1|False
142|1|the emperor’s champion|2+|3+|4|4|5|5|2+|100.0||1|False
143|1|chaplain grimaldus|2+|3+|4|4|5|4|3+|140.0||1|True
143|2|cenobyte servitor|4+|4+|3|4|1|1|4+|||3|True
145|1|initiate|3+|3+|4|4|2|1|3+|18.0||4-9|False
145|2|neophyte|3+|3+|4|4|1|1|4+|13.0||0-10|False
145|3|sword brother|3+|3+|4|4|2|2|3+|18.0||1|False
146|1|kayvaan shrike|2+|2+|4|4|6|6|3+|135.0||1|False
147|1|vulkan he’stan|2+|2+|4|4|5|4|2+|120.0||1|False
148|1|kor’sarro khan|2+|2+|4|4|6|5|3+|110.0||1|False
149|1|kor’sarro khan on moondrakkan|2+|2+|4|5|6|4|3+|132.0||1|True
150|1|legionnaire|3+|3+|4|4|1|2|3+|25.0||4-9|False
150|2|legionnaire sergeant|3+|3+|4|4|1|3|3+|25.0||1|False
243|1|fortress of redemption|-|4+|6|8|30|-|3+|440.0||1|False
373|1|kaldor draigo|2+|2+|4|4|7|6|2+|180.0||1|False
374|1|grand master voldus|2+|2+|4|4|6|6|2+|150.0||1|False
375|1|grand master|2+|2+|4|4|6|6|2+|135.0||1|False
376|1|brother-captain|2+|2+|4|4|6|5|2+|110.0||1|False
377|1|brother-captain stern|2+|2+|4|4|6|6|2+|120.0||1|False
378|1|brotherhood ancient|3+|3+|4|4|5|4|2+|100.0||1|False
379|1|brotherhood champion|2+|2+|4|4|4|5|2+|70.0||1|False
380|1|castellan crowe|2+|2+|4|4|5|6|2+|90.0||1|False
381|1|grey knight|3+|3+|4|4|2|3|3+|22.0||4-9|False
381|2|justicar|3+|3+|4|4|2|4|3+|22.0||1|False
382|1|brotherhood terminator|3+|3+|4|4|3|3|2+|40.0||4-9|False
382|2|terminator justicar|3+|3+|4|4|3|4|2+|40.0||1|False
383|1|purifier|3+|3+|4|4|2|3|3+|23.0||4-9|False
383|2|knight of the flame|3+|3+|4|4|2|4|3+|23.0||1|False
384|1|paladin|2+|3+|4|4|3|4|2+|45.0||2-9|False
384|2|paragon|2+|3+|4|4|3|5|2+|45.0||1|False
385|1|paladin ancient|2+|3+|4|4|5|5|2+|110.0||1|False
386|1|brotherhood apothecary|3+|3+|4|4|5|5|2+|100.0||1|False
387|1|interceptor|3+|3+|4|4|2|3|3+|26.0||4-9|False
387|2|interceptor justicar|3+|3+|4|4|2|4|3+|26.0||1|False
388|1|purgator|3+|3+|4|4|2|3|3+|22.0||4-9|False
388|2|purgator justicar|3+|3+|4|4|2|4|3+|22.0||1|False
389|1|nemesis dreadknight|3+|3+|6|6|13|5|2+|130.0||1|False
390|1|dreadnought|3+|3+|6|7|8|5|3+|130.0||1|False
391|1|land raider|6+|3+|8|8|16|6|2+|245.0||1|False
392|1|land raider crusader|6+|3+|8|8|16|6|2+|245.0||1|False
393|1|land raider redeemer|6+|3+|8|8|16|6|2+|245.0||1|False
395|1|razorback|6+|3+|6|7|10|3|3+|100.0||1|False
396|1|rhino|6+|3+|6|7|10|3|3+|80.0||1|False
397|1|servitor|5+|5+|3|3|1|1|4+|||4|False
398|1|stormraven gunship|6+|3+|8|7|14|6|3+|260.0||1|False
399|1|brotherhood techmarine|3+|2+|4|4|4|4|2+|80.0||1|False
400|1|venerable dreadnought|2+|2+|6|7|8|5|3+|145.0||1|False
402|1|commander in coldstar battlesuit|3+|2+|5|5|7|4|3+|110.0||1|False
403|1|gun drone|5+|5+|3|4|1|1|4+|10.0||0-12|False
403|2|marker drone|5+|5+|3|4|1|1|4+|10.0||0-12|False
403|3|shield drone|5+|5+|3|4|2|1|4+|15.0||0-12|False
404|1|ethereal|3+|4+|3|3|4|3|5+|80.0||1|False
405|1|cadre fireblade|4+|3+|3|3|4|3|4+|50.0||1|False
406|1|commander farsight|2+|2+|5|5|7|5|3+|130.0||1|False
407|1|commander shadowsun|3+|2+|5|5|7|4|3+|150.0||1|False
407|2|advanced guardian drone|5+|5+|3|4|1|1|4+|||1|False
407|3|command-link drone|5+|5+|3|4|1|1|4+|||1|False
408|1|aun’shi|2+|4+|3|3|5|5|7+|105.0||1|False
409|1|aun’va|6+|4+|2|3|6|1|5+|||1|False
409|2|ethereal guard|3+|3+|3|3|2|3|5+|||2|False
410|1|darkstrider|3+|2+|3|3|5|3|4+|60.0||1|False
411|1|fire warrior|5+|4+|3|3|1|1|4+|||9|False
411|2|fire warrior shas’ui|5+|4+|3|3|1|2|4+|||1|False
411|3|support turret|-|4+|3|3|1|-|4+|10.0||0-1|False
412|1|breacher fire warrior|5+|4+|3|3|1|1|4+|||9|False
412|2|breacher fire warrior shas’ui|5+|4+|3|3|1|2|4+|||1|False
412|3|support turret|-|4+|3|3|1|-|4+|10.0||0-1|False
413|1|kroot|3+|4+|4|3|1|2|6+|6.0||10-20|False
414|1|krootox rider|3+|4+|6|5|4|4|6+|25.0||1-3|False
415|1|kroot hound|3+|-|3|3|1|3|6+|6.0||4-12|False
416|1|kroot shaper|2+|4+|4|3|4|3|6+|25.0||1|False
417|1|stealth shas’ui|5+|4+|4|4|2|2|3+|25.0||2-5|False
417|2|stealth shas’vre|5+|4+|4|4|2|3|3+|25.0||1|False
418|1|crisis shas’ui|5+|4+|5|5|4|3|3+|40.0||2-5|False
418|2|crisis shas’vre|5+|4+|5|5|4|4|3+|40.0||1|False
419|1|crisis bodyguard shas’ui|5+|4+|5|5|4|3|3+|40.0||1-5|False
419|2|crisis bodyguard shas’vre|5+|4+|5|5|4|4|3+|40.0||1|False
420|1|ghostkeel shas’vre|5+|4+|6|7|12|3|3+|||1|False
420|2|stealth drone|5+|5+|3|4|1|1|4+|||2|True
421|1|riptide shas’vre|5+|4+|6|7|14|6|2+|240.0||1|False
422|1|pathfinder|5+|4+|3|3|1|1|5+|||9|False
422|2|pathfinder shas’ui|5+|4+|3|3|1|2|5+|||1|False
423|1|piranha|6+|4+|4|6|7|2|4+|60.0||1-5|False
423|2|gun drone|5+|5+|3|4|1|1|4+|||2|False
424|1|devilfish|6+|4+|6|7|13|3|3+|95.0||1|False
424|2|gun drone|5+|5+|3|4|1|1|4+|||2|False
425|1|razorshark strike fighter|6+|4+|6|7|12|3|4+|155.0||1|False
426|1|sun shark bomber|6+|4+|6|6|12|3|4+|165.0||1|False
426|2|interceptor drone|5+|5+|3|4|1|1|4+|||2|False
427|1|vespid stingwing|4+|4+|4|4|1|1|4+|12.0||4-12|False
427|2|vespid strain leader|4+|4+|4|4|1|2|4+|12.0||1|False
428|1|firesight marksman|5+|3+|3|3|3|2|4+|||1|False
428|2|sniper drone|5+|5+|3|4|1|1|4+|||3|False
430|1|sky ray gunship|6+|4+|6|7|14|3|3+|135.0||1|False
430|2|gun drone|5+|5+|3|4|1|1|4+|||2|False
431|1|longstrike|6+|3+|6|7|14|3|3+|160.0||1|False
431|2|gun drone|5+|5+|3|4|1|1|4+|||2|False
432|1|hammerhead gunship|6+|4+|6|7|14|3|3+|145.0||1|False
432|2|gun drone|5+|5+|3|4|1|1|4+|||2|False
433|1|broadside shas’ui|5+|4+|5|5|8|3|2+|85.0||0-2|False
433|2|broadside shas’vre|5+|4+|5|5|8|4|2+|85.0||1|False
434|1|stormsurge|5+|4+|8|8|22|3|2+|400.0||1|False
435|1|tidewall droneport|-|4+|6|6|10|-|4+|80.0||1|False
436|1|tidewall shieldline|-|-|6|6|10|-|4+|80.0||1|False
436|2|tidewall defence platform|-|-|6|6|10|-|4+|80.0||0-1|False
437|1|tidewall gunrig|-|4+|6|6|16|-|4+|125.0||1|False
438|1|shas’o r’myr|3+|2+|5|5|5|4|3+|110.0||1|True
439|1|shas’o r’alai|3+|2+|5|5|7|4|3+|||1|False
439|2|blacklight marker drone|5+|4+|3|3|1|1|4+|||2|False
440|1|commander in xv81 crisis battlesuit|3+|2+|5|5|5|4|3+|100.0||1|False
441|1|dx4 technical drone|5+|5+|3|4|2|1|4+|20.0||2-10|True
442|1|commander in xv84 crisis battlesuit|3+|2+|5|5|5|4|3+|90.0||1|False
443|1|xv9 hazard battlesuit|5+|4+|5|5|4|3|3+|60.0||1-3|False
444|1|xv109 y’vahra battlesuit|5+|4+|6|7|14|4|2+|300.0||1|False
445|1|xv107 r’varna battlesuit|5+|4+|6|8|15|4|2+|320.0||1|False
446|1|kx139 ta’unar supremacy armour|5+|3+|8|8|30|4|3+|1000.0||1|False
447|1|tetra|6+|4+|4|5|4|2|4+|40.0||2-4|False
448|1|tx42 piranha|6+|4+|4|5|6|2|3+|55.0||1-5|False
449|1|heavy gun drone|5+|5+|3|4|2|1|4+|18.0||2-6|False
452|1|dx-6 remora stealth drone|5+|4+|4|5|5|2|3+|60.0||1-4|False
453|1|ax-5-2 barracuda|6+|4+|6|7|14|3|3+|200.0||1|False
454|1|tiger shark|6+|4+|7|8|18|3|3+|375.0||1|False
455|1|ax-1-0 tiger shark|6+|4+|7|8|18|3|3+|450.0||1|False
456|1|orca dropship|6+|4+|7|8|28|3|3+|300.0||1|True
457|1|manta|6+|4+|8|8|60|12|3+|2000.0||1|False
458|1|remote sensor tower|-|4+|-|6|3|-|4+|40.0||1|True
459|1|drone sentry turret|-|5+|-|6|3|-|4+|30.0||1-4|False
460|1|hive tyrant|2+|2+|7|8|12|5|2+|180.0||1|False
461|1|the swarmlord|2+|2+|8|8|13|9|2+|240.0||1|False
462|1|old one eye|2+|2+|6|7|9|6|2+|235.0||1|False
463|1|broodlord|2+|6+|5|5|7|6|4+|120.0||1|False
464|1|tyranid prime|2+|2+|5|5|6|4|3+|85.0||1|False
465|1|tervigon|3+|3+|7|8|17|4|2+|215.0||1|False
466|1|tyranid warrior|3+|3+|5|5|3|3|4+|30.0||3-9|False
467|1|genestealer|3+|6+|4|4|1|4|5+|16.0||5-10|False
468|1|termagant|4+|4+|3|3|1|1|5+|7.0||10-30|False
469|1|hormagaunt|4+|4+|3|3|1|3|5+|8.0||10-30|False
470|1|ripper swarm|5+|5+|3|3|4|4|6+|15.0||3-9|False
471|1|tyrant guard|3+|4+|5|6|4|3|2+|40.0||3-6|False
472|1|hive guard|4+|3+|5|6|4|3|3+|50.0||3-6|False
473|1|lictor|2+|6+|7|5|5|6|4+|70.0||1|False
474|1|maleceptor|3+|3+|7|8|15|3|3+|220.0||1|False
475|1|zoanthrope|5+|3+|5|5|4|2|5+|50.0||3-6|False
476|1|venomthrope|3+|3+|5|5|4|5|4+|35.0||3-6|False
477|1|pyrovore|3+|3+|5|5|5|3|3+|40.0||1-3|False
478|1|haruspex|3+|3+|7|8|15|5|2+|170.0||1|False
479|1|deathleaper|2+|6+|7|5|7|7|4+|120.0||1|False
482|1|ravener|3+|3+|5|5|4|5|4+|35.0||3-9|False
483|1|sky-slasher swarm|5+|5+|3|3|3|4|6+|15.0||3-9|False
484|1|gargoyle|4+|4+|3|3|1|1|6+|8.0||10-20|False
485|1|harpy|3+|3+|6|7|13|4|3+|175.0||1|False
486|1|hive crone|3+|3+|6|7|13|4|3+|160.0||1|False
487|1|mucolid spore|6+|6+|1|4|4|-|6+|20.0||1-3|False
488|1|spore mine|6+|6+|1|3|1|-|6+|10.0||3-9|False
489|1|tyrannocyte|5+|5+|7|7|15|6|4+|110.0||1|False
490|1|carnifex|3+|4+|6|7|9|4|2+|115.0||1-3|False
491|1|biovore|4+|4+|5|5|4|2|4+|45.0||1-3|False
492|1|trygon prime|3+|3+|7|7|14|12|3+|175.0||1|False
493|1|trygon|3+|3+|7|7|14|12|3+|145.0||1|False
494|1|mawloc|3+|3+|7|7|14|16|3+|125.0||1|False
495|1|exocrine|3+|3+|7|8|15|3|2+|200.0||1|False
496|1|tyrannofex|3+|3+|7|8|17|4|2+|170.0||1|False
497|1|toxicrene|3+|3+|7|8|15|12|3+|150.0||1|False
498|1|sporocyst|5+|5+|7|7|10|6|4+|95.0||1|False
499|1|malanthrope|4+|4+|4|5|9|4|5+|150.0||1|False
500|1|dimachaeron|3+|3+|7|7|18|6|3+|280.0||1|False
501|1|meiotic spore|-|-|1|2|2|1|7+|20.0||3-6|False
502|1|stone-crusher carnifex|4+|4+|7|7|8|4|3+|120.0||1|False
503|1|barbed hierodule|3+|3+|8|8|18|4|2+|275.0||1|False
504|1|harridan|3+|3+|8|8|34|5|3+|700.0||1|False
505|1|hierophant|3+|3+|8|8|34|6|2+|850.0||1|False
506|1|scythed hierodule|3+|3+|8|8|18|6|3+|235.0||1|False
507|1|patriarch|2+|4+|5|5|7|6|4+|140.0||1|False
508|1|magus|3+|3+|3|3|4|3|5+|80.0||1|False
509|1|primus|2+|2+|4|4|5|4|5+|80.0||1|False
510|1|acolyte iconward|3+|3+|4|4|4|4|5+|75.0||1|False
511|1|acolyte hybrid|3+|4+|4|4|1|2|5+|9.0||4-14|False
511|2|acolyte leader|3+|4+|4|4|1|3|5+|9.0||1|False
512|1|neophyte hybrid|4+|4+|3|3|1|1|5+|6.0||9-19|False
512|2|neophyte leader|4+|4+|3|3|1|2|5+|6.0||1|False
513|1|hybrid metamorph|3+|4+|4|4|1|3|5+|12.0||4-14|False
513|2|metamorph leader|3+|4+|4|4|1|4|5+|12.0||1|False
514|1|aberrant|3+|6+|5|5|3|2|5+|30.0||4-9|False
514|2|aberrant hypermorph|3+|6+|5|5|3|3|5+|30.0||1|False
515|1|purestrain genestealer|2+|6+|4|4|1|4|5+|14.0||5-10|False
516|1|goliath truck|6+|4+|6|6|10|3|3+|90.0||1|False
521|1|goliath rockgrinder|3+|4+|6|7|10|6|3+|110.0||1|False
522|1|imotekh the stormlord|2+|2+|5|5|6|4|2+|130.0||1|False
523|1|overlord|2+|2+|5|5|5|4|3+|90.0||1|False
524|1|lord|3+|3+|5|5|4|3|3+|65.0||1|False
527|1|nemesor zahndrekh|2+|2+|5|5|6|4|2+|125.0||1|False
528|1|vargard obyron|2+|3+|5|5|6|4|2+|90.0||1|False
530|1|orikan the diviner|3+|3+|4|4|5|2|4+|100.0||1|False
530|2|orikan empowered|2+|2+|7|7|5|4|4+||||False
531|1|anrakyr the traveller|2+|2+|6|5|6|4|3+|130.0||1|False
532|1|trazyn the infinite|2+|2+|5|5|6|4|3+|90.0||1|False
533|1|catacomb command barge|2+|2+|5|6|9|4|3+|145.0||1|False
534|1|necron warrior|3+|3+|4|4|1|1|4+|13.0||10-20|False
535|1|immortal|3+|3+|4|5|1|2|3+|16.0||5-10|False
536|1|lychguard|3+|3+|5|5|2|3|3+|25.0||5-10|False
537|1|deathmarks|3+|2+|4|5|1|1|3+|15.0||5-10|False
538|1|flayed one|3+|6+|4|4|1|3|4+|10.0||5-20|False
539|1|triarch praetorian|3+|3+|5|5|2|3|3+|22.0||5-10|False
540|1|triarch stalker|3+|3+|7|6|12|3|3+|120.0||1|False
541|1|c’tan shard of the nightbringer|2+|2+|7|7|9|6|4+|320.0||1|False
542|1|c’tan shard of the deceiver|2+|2+|6|7|9|5|4+|300.0||1|False
543|1|ghost ark|6+|3+|6|6|14|3|3+|130.0||1|False
544|1|night scythe|6+|3+|6|6|12|3|3+|120.0||1|False
545|1|doom scythe|6+|3+|6|6|12|3|3+|165.0||1|False
546|1|canoptek wraith|4+|4+|4|5|3|4|3+|35.0||3-6|False
548|1|tomb blades|3+|3+|4|5|2|1|4+|20.0||3-9|False
551|1|canoptek spyder|4+|4+|6|6|6|5|3+|60.0||1-3|False
552|1|monolith|6+|3+|8|8|24|6|2+|300.0||1|False
