id|name|faction_id|source_id|role|unit_composition|Cost|cost_per_unit
31|blitza-bommer|ork|46.0|flyers|a blitza-bommer is equipped with: big shoota; 2 boom bombs; 2 supa-shootas.||False
32|wazbom blastajet|ork|46.0|flyers|a wazbom blastajet is equipped with: smasha gun; 2 wazbom mega-kannons; stikkbomb flinga.||False
33|warbikers|ork|46.0|fast attack|if this unit contains 4 or more models, it has power rating 8. if this unit contains 7 or more models, it has power rating 12. every model is equipped with: 2 dakkaguns.||False
34|wartrakks|ork|94.0|fast attack|this unit contains 1 wartrakk. it can additionally contain up to 2 wartrakks (power rating +6), or up to 4 wartrakks (power rating +11). every model is equipped with: twin big shoota.||False
35|skorchas|ork|94.0|fast attack|this unit contains 1 skorcha. it can additionally contain up to 2 skorchas (power rating +6), or up to 4 skorchas (power rating +11). every model is equipped with: skorcha.||False
36|warbuggies|ork|94.0|fast attack|this unit contains 1 warbuggy. it can additionally contain up to 2 warbuggies (power rating +5), or up to 4 warbuggies (power rating +10). every model is equipped with: twin big shoota.||False
37|big gunz|ork|94.0|heavy support|this unit contains 1 big gun and 2 grot krew. it can additionally contain up to 5 big gunz (power rating +1 each), with 2 grot krew each. every big gun is equipped with: kannon.||False
38|mek gunz|ork|46.0|heavy support|if this unit contains 2 models it has power rating 4. if this unit contains 3 models it has power rating 6. every model is equipped with: smasha gun.||False
39|battlewagon|ork|46.0|heavy support|a battlewagon has no equipment.||False
40|deff dreads|ork|46.0|heavy support|if this unit contains 2 models it has power rating 12. if this unit contains 3 models it has power rating 18. every model is equipped with: 2 big shootas, 2 dread klaws.||False
41|killa kans|ork|46.0|heavy support|if this unit contains 4 or more models, it has power rating 14. every model is equipped with: big shoota, kan klaw.||False
42|morkanaut|ork|46.0|lords of war|a morkanaut is equipped with: kustom mega-blasta; kustom mega-zappa; 2 rokkit launchas; 2 twin big shootas; klaw of gork (or possibly mork).||False
43|gorkanaut|ork|46.0|lords of war|a gorkanaut is equipped with: deffstorm mega-shoota; 2 rokkit launchas; skorcha; 2 twin big shootas; klaw of gork (or possibly mork).||False
44|lootas|ork|46.0|heavy support|this unit must contain 1 spanner for every 4 lootas it contains. if this unit contains 6 or more models, it has power rating 8. if this unit contains 11 or more models, it has power rating 12. every spanner is equipped with: big shoota. every loota is equipped with: deffgun.||False
45|flash gitz|ork|46.0|heavy support|if this unit contains 6 or more models, it has power rating 14. every model is equipped with: snazzgun; stikkbombs.||False
46|stompa|ork|46.0|lords of war|a stompa is equipped with: 3 big shootas; deffkannon; skorcha; supa-gatler; supa-rokkits; twin big shoota; mega-choppa.||False
47|zhadsnark da ripper|ork|145.0|hq|zhadsnark da ripper is equipped with: 2 big shootas; slugga; da pain klaw; stikkbombs.||False
48|mek boss buzzgob|ork|146.0|hq|mek boss buzzgob is equipped with: slugga; big choppa: mek arms; stikkbombs. your army can only include one mek boss buzzgob model.|100.0|True
49|grot tanks|ork|146.0|fast attack|if this unit contains 5-8 models, it has power rating 16. every model is equipped with: big shoota.||False
50|grot mega-tank|ork|146.0|fast attack|a grot mega-tank is equipped with: 3 big shootas; 2 twin big shootas; 1 shoota.||False
51|squiggoth|ork|146.0|heavy support|a squiggoth is equipped with: gorin’ horns.||False
52|meka-dread|ork|146.0|heavy support|a meka-dread is equipped with: 1 killkannon; 1 dread rippa klaw.||False
53|lifta wagon|ork|145.0|heavy support|a lifta wagon is equipped with: lifta-droppa.||False
54|big trakk|ork|146.0|heavy support|a big trakk is equipped with: 2 big shootas.||False
55|kannonwagon|ork|146.0|heavy support|a kannonwagon is equipped with: 1 supa-kannon.||False
56|kill tank|ork|146.0|lords of war|a kill tank is equipped with: bursta kannon; skorcha; twin big shoota; reinforced ram.||False
57|chinork warkopta|ork|145.0|flyers|a chinork warkopta is equipped with: big shoota; 2 deffguns.||False
58|kustom stompa|ork|146.0|lords of war|a kustom stompa is equipped with: 3 big shootas; deffkannon; gaze of mork; kustom supa-rokkits; skorcha; supa-gatler; twin big shoota; mega-choppa.||False
59|gargantuan squiggoth|ork|146.0|lords of war|a gargantuan squiggoth is equipped with: huge tusks.||False
60|captain|sm|139.0|hq|a captain is equipped with: bolt pistol; master-crafted boltgun; astartes chainsword; frag grenades; krak grenades.||False
61|captain in terminator armour|sm|139.0|hq|a captain in terminator armour is equipped with: storm bolter; power sword.||False
63|captain in gravis armour|sm|176.0|hq|a captain in gravis armour is equipped with: boltstorm gauntlet; astartes chainsword.||False
64|captain on bike|sm|139.0|hq|a captain on bike is equipped with: bolt pistol; twin boltgun; astartes chainsword; frag grenades; krak grenades.||False
65|librarian|sm|139.0|hq|a librarian is a single model equipped with: bolt pistol; force stave; frag grenades; krak grenades.||False
66|librarian in terminator armour|sm|139.0|hq|a librarian in terminator armour is equipped with: force stave.||False
67|librarian on bike|sm|96.0|hq|a librarian on bike is a single model equipped with: bolt pistol; twin boltgun; force stave; frag grenades; krak grenades.||False
68|techmarine|sm|139.0|hq|a techmarine is equipped with: bolt pistol; omnissian power axe; servo-arm; frag grenades; krak grenades.||False
69|servitors|sm|139.0|elites|every model is equipped with: servo-arm.|30.0|True
70|techmarine on bike|sm|96.0|hq|a techmarine on bike is a single model equipped with: bolt pistol; twin boltgun; power axe; servo-arm; frag grenades; krak grenades.||False
71|chaplain|sm|139.0|hq|a chaplain is equipped with: bolt pistol; crozius arcanum; frag grenades; krak grenades.||False
72|chaplain in terminator armour|sm|139.0|hq|a chaplain in terminator armour is equipped with: storm bolter; crozius arcanum.||False
73|chaplain on bike|sm|96.0|hq|a chaplain on bike is a single model equipped with: bolt pistol; twin boltgun; crozius arcanum; frag grenades; krak grenades.||False
74|apothecary|sm|139.0|elites|an apothecary is equipped with: bolt pistol; astartes chainsword; frag grenades; krak grenades.||False
75|apothecary on bike|sm|96.0|elites|an apothecary on bike is a single model equipped with: bolt pistol; twin boltgun; chainsword; frag grenades; krak grenades.||False
76|primaris lieutenant|sm|139.0|hq|a primaris lieutenant is equipped with: bolt pistol; master-crafted auto bolt rifle; frag grenades; krak grenades.||False
77|company ancient|sm|139.0|elites|a company ancient is equipped with: bolt pistol; frag grenades; krak grenades.||False
78|company ancient on bike|sm|96.0|elites|a company ancient on bike is a single model armed with a bolt pistol, frag grenades and krak grenades. his space marine bike is equipped with a twin boltgun.||False
79|primaris ancient|sm|176.0|elites|a primaris ancient is equipped with: bolt pistol; bolt rifle; frag grenades; krak grenades.||False
80|company champion|sm|139.0|elites|a company champion is equipped with: bolt pistol; master-crafted power sword; frag grenades; krak grenades; combat shield.||False
81|company champion on bike|sm|96.0|elites|a company champion on bike is a single model equipped with: bolt pistol; twin boltgun; master-crafted power sword; frag grenades; krak grenades. it has a combat shield.||False
82|company veterans|sm|139.0|elites|if this unit contains 3 or more models, it has power rating 8. every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
83|company veterans on bikes|sm|96.0|elites|this unit contains 1 veteran biker sergeant and 1 space marine veteran biker. it can additionally contain up to 3 space marine veteran bikers (power rating +7). every model is equipped with: bolt pistol; twin boltgun; chainsword; frag grenades; krak grenades.||False
84|tactical squad|sm|139.0|troops|if this unit contains 6 or more models, it has power rating 10. every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
85|scout squad|sm|139.0|elites|if this unit contains 6 or more models, it has power rating 8. every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
86|intercessor squad|sm|139.0|troops|if this unit contains 6 or more models, it has power rating 10. every model is equipped with: bolt pistol; bolt rifle; frag grenades; krak grenades.||False
87|imperial space marine|sm|96.0|elites|an imperial space marine is a single model equipped with: disintegration combi-gun; disintegration pistol; frag grenades; krak grenades. only one imperial space marine model can be included in your army.||False
88|honour guard|sm|77.0|elites|this unit contains 2 honour guard. every model is equipped with: boltgun; bolt pistol; power axe; frag grenades; krak grenades.|50.0|True
89|chapter ancient|sm|77.0|elites|a chapter ancient is a single model equipped with: power sword; frag grenades; krak grenades. you can only include one of this model in your army.||False
90|chapter champion|sm|77.0|elites|a chapter champion is a single model equipped with: champion’s blade; master-crafted power sword; frag grenades; krak grenades. you can only include one of this model in your army.||False
91|centurion assault squad|sm|139.0|elites|if this unit contains 4 or more models, it has power rating 18. every model is equipped with: 2 flamers; siege drills; centurion assault launchers.||False
92|sternguard veteran squad|sm|139.0|elites|if this unit contains 6 or more models, it has power rating 12. every model is equipped with: bolt pistol; special issue boltgun; frag grenades; krak grenades.||False
93|vanguard veteran squad|sm|139.0|elites|if this unit contains 6 or more models, it has power rating 12. every model is equipped with: bolt pistol; astartes chainsword; frag grenades; krak grenades.||False
94|dreadnought|sm|139.0|elites|a dreadnought is equipped with: assault cannon; storm bolter; dreadnought combat weapon.||False
95|venerable dreadnought|sm|139.0|elites|a venerable dreadnought is equipped with: assault cannon; storm bolter; dreadnought combat weapon.||False
96|contemptor dreadnought|sm|139.0|elites|a contemptor dreadnought is equipped with: combi-bolter; multi-melta; dreadnought combat weapon.||False
97|ironclad dreadnought|sm|139.0|elites|an ironclad dreadnought is equipped with: meltagun; storm bolter; ironclad combat weapon; seismic hammer.||False
98|terminator squad|sm|139.0|elites|if this unit contains 6 or more models, it has power rating 18. the terminator sergeant is equipped with: storm bolter; power sword. every terminator is equipped with: storm bolter; power fist.||False
99|terminator assault squad|sm|139.0|elites|if this unit contains 6 or more models, it has power rating 18. every model is equipped with: thunder hammer; storm shield.||False
102|assault squad|sm|139.0|fast attack|if this unit contains 6 or more models, it has power rating 10. every model is equipped with: bolt pistol; astartes chainsword; frag grenades; krak grenades.||False
103|inceptor squad|sm|139.0|fast attack|if this unit contains 4 or more models, it has power rating 14. every model is equipped with: 2 assault bolters.||False
104|scout bike squad|sm|139.0|fast attack|if this unit contains between 4 and 6 models, it has power rating 9. if it contains 7 or more models, it has power rating 13. every model is equipped with: astartes shotgun; bolt pistol; twin boltgun; combat knife; frag grenades, krak grenades.||False
105|bike squad|sm|139.0|fast attack|if this unit contains between 3 and 5 space marine biker models, it has power rating 9. if this unit contains 6 or more space marine biker models, it has power rating 12. if this unit contains an attack bike model, it has power rating +2.&nbsp;• the biker sergeant and every space marine biker is equipped with: bolt pistol; twin boltgun; frag grenades; krak grenades.&nbsp;• an attack bike is equipped with: bolt pistol; heavy bolter; twin boltgun; frag grenades; krak grenades.||False
106|attack bike squad|sm|139.0|fast attack|if this unit contains 2 models, it has power rating 4. if this unit contains 3 models, it has power rating 6. every model is equipped with: bolt pistol; heavy bolter; twin boltgun; frag grenades; krak grenades.||False
107|land speeder storm|sm|139.0|dedicated transport|a land speeder storm is equipped with: cerberus launcher; heavy bolter.||False
108|land speeders|sm|139.0|fast attack|if this unit contains 2 models, it has power rating 6. if this unit contains 3 models, it has power rating 9. every model is equipped with: heavy bolter.||False
109|rhino|sm|139.0|dedicated transport|a rhino is equipped with: storm bolter.||False
110|rhino primaris|sm|96.0|hq|a rhino primaris is a single model equipped with: twin plasma gun. it has an orbital comms array.||False
111|razorback|sm|139.0|dedicated transport|a razorback is equipped with: twin heavy bolter.||False
112|drop pod|sm|139.0|dedicated transport|a drop pod is equipped with: storm bolter.||False
113|stormhawk interceptor|sm|139.0|flyers|a stormhawk interceptor is equipped with: 2 assault cannons; skyhammer missile launcher; las-talon.||False
114|stormtalon gunship|sm|139.0|flyers|a stormtalon gunship is equipped with: skyhammer missile launcher; twin assault cannon.||False
115|devastator squad|sm|139.0|heavy support|if this unit contains 6 or more models, it has power rating 12. every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
116|centurion devastator squad|sm|139.0|heavy support|if this unit contains 4 or more models, it has power rating 22. every model is equipped with: grav-cannon; hurricane bolter.||False
117|hellblaster squad|sm|139.0|heavy support|if this unit contains 6 or more models, it has power rating 16. every model is equipped with: bolt pistol; plasma incinerator; frag grenades; krak grenades.||False
118|thunderfire cannon|sm|139.0|heavy support|the thunderfire cannon is equipped with: thunderfire cannon. the techmarine gunner is equipped with: bolt pistol; flamer; plasma cutter; 2 servo-arms.|120.0|True
119|predator destructor|sm|139.0|heavy support|a predator destructor is equipped with: predator autocannon.||False
120|whirlwind|sm|139.0|heavy support|a whirlwind is equipped with: whirlwind vengeance launcher.||False
121|vindicator|sm|139.0|heavy support|a vindicator is equipped with: demolisher cannon.||False
122|hunter|sm|139.0|heavy support|a hunter is equipped with: skyspear missile launcher.||False
123|stalker|sm|139.0|heavy support|a stalker is equipped with: 2 icarus stormcannons.||False
124|stormraven gunship|sm|139.0|flyers|a stormraven gunship is equipped with: 2 stormstrike missile launchers; twin assault cannon; typhoon missile launcher.||False
125|land raider|sm|139.0|heavy support|a land raider is a equipped with: twin heavy bolter; 2 twin lascannons.||False
126|land raider crusader|sm|139.0|heavy support|a land raider crusader is equipped with: 2 hurricane bolters; twin assault cannon.||False
127|land raider redeemer|sm|139.0|heavy support|a land raider redeemer is equipped with: 2 flamestorm cannons; twin assault cannon.||False
128|land raider excelsior|sm|96.0|hq|a land raider excelsior is a single model equipped with: grav-cannon and grav-amp; 2 twin lascannons.||False
129|roboute guilliman|sm|77.0|lords of war|roboute guilliman is a single model equipped with: the emperor’s sword; the hand of dominion. you can only include one of this model in your army.||False
130|captain lysander|sm|84.0|hq|captain lysander is a single model equipped with: fist of dorn. you can only include one of this model in your army.||False
131|pedro kantor|sm|84.0|hq|pedro kantor is a single model equipped with: dorn’s arrow; power fist; frag grenades; krak grenades. you can only include one of this model in your army.||False
132|marneus calgar|sm|77.0|hq|marneus calgar is a single model equipped with: the gauntlets of ultramar. you can only include one of this model in your army.||False
133|marneus calgar in artificer armour|sm|96.0|hq|marneus calgar in artificer armour is a single model equipped with: gauntlets of ultramar; relic blade. only one marneus calgar model can be included in your army.||False
134|captain sicarius|sm|77.0|hq|captain sicarius is a single model equipped with: the talassarian tempest blade; artisan plasma pistol; frag grenades; krak grenades. you can only include one of this model in your army.||False
135|chief librarian tigurius|sm|77.0|hq|chief librarian tigurius is a single model equipped with: bolt pistol; the rod of tigurius; frag grenades; krak grenades. you can only include one of this model in your army.||False
136|chaplain cassius|sm|77.0|hq|chaplain cassius is a single model equipped with: infernus; artificer crozius; frag grenades; krak grenades. you can only include one of this model in your army.||False
137|sergeant telion|sm|77.0|hq|sergeant telion is a single model equipped with: quietus; bolt pistol; frag grenades; krak grenades. you can only include one of this model in your army.||False
138|sergeant chronus|sm|77.0|hq|sergeant chronus is a single model equipped with: bolt pistol; servo-arm; frag grenades; krak grenades. you can only include one of this model in your army.||False
139|tyrannic war veterans|sm|77.0|elites|this unit contains 1 veteran sergeant and 3 tyrannic war veterans. it can additionally contain up to 6 tyrannic war veterans (power rating +5). every model is equipped with: bolt pistol; special issue boltgun; frag grenades; krak grenades.||False
140|terminus ultra|sm|96.0|lords of war|a terminus ultra is a single model equipped with: 2 lascannons; 3 twin lascannons.||False
141|high marshal helbrecht|sm|162.0|hq|high marshal helbrecht is equipped with: ferocity; attendant thralls’ fists; sword of the high marshals; frag grenades; krak grenades. your army can only include one high marshal helbrecht model.||False
142|the emperor’s champion|sm|162.0|hq|the emperor’s champion is equipped with: bolt pistol; black sword; frag grenades; krak grenades. your army can only include one emperor’s champion model.||False
143|chaplain grimaldus|sm|162.0|hq|• chaplain grimaldus is equipped with: plasma pistol; artificer crozius; frag grenades; krak grenades.• one cenobyte servitor is equipped with: banner of fallen crusaders.• one cenobyte servitor is equipped with: remnant of the fallen temple.• one cenobyte servitor is equipped with: sceptre of anointing.your army can only include one grimaldus unit.||False
145|crusader squad|sm|162.0|troops|if this unit contains between 6 and 10 models, it has power rating 10. if this unit contains between 11 and 15 models, it has power rating 15. if this unit contains 16 or more models, it has power rating 20. every model is equipped with: boltgun; bolt pistol; frag grenades; krak grenades.||False
146|kayvaan shrike|sm|82.0|hq|kayvaan shrike is a single model equipped with: blackout; the raven’s talons; frag grenades; krak grenades. you can only include one of this model in your army.||False
147|vulkan he’stan|sm|85.0|hq|vulkan he’stan is a single model equipped with: bolt pistol; gauntlet of the forge; spear of vulkan; frag grenades; krak grenades. you can only include one of this model in your army.||False
148|kor’sarro khan|sm|78.0|hq|kor’sarro khan is a single model equipped with: bolt pistol; moonfang; frag grenades; krak grenades. you can only include one of this model in your army.||False
149|kor’sarro khan on moondrakkan|sm|96.0|hq|kor’sarro khan on moondrakkan is a single model equipped with: bolt pistol; twin boltgun; moonfang; frag grenades; krak grenades. only one kor’sarro khan model can be included in your army.||False
150|damned legionnaires|sm|104.0|elites|this unit contains 1 legionnaire sergeant and 4 legionnaires. it can additionally contain up to 5 legionnaires (power rating +6). every model is equipped with: bolt pistol; boltgun; frag grenades; krak grenades.||False
243|fortress of redemption|un|167.0|fortifications|a fortress of redemption is equipped with: redemption lascannons; redemption missile silo.||False
373|kaldor draigo|gk|13.0|hq|kaldor draigo is equipped with: the titansword; sanctum sigilum; master-crafted storm bolter; frag grenades; krak grenades. your army can only include one kaldor draigo model.||False
374|grand master voldus|gk|13.0|hq|grand master voldus is equipped with: master-crafted storm bolter; malleus argyrum; frag grenades; krak grenades. your army can only include one grand master voldus model.||False
375|grand master|gk|13.0|hq|a grand master is equipped with: master-crafted storm bolter; nemesis force halberd; frag grenades; krak grenades.||False
376|brother-captain|gk|13.0|hq|a brother-captain is equipped with: master-crafted storm bolter; nemesis force sword; frag grenades; krak grenades.||False
377|brother-captain stern|gk|13.0|hq|brother-captain stern is equipped with: master-crafted storm bolter; nemesis force sword; frag grenades; krak grenades. your army can only include one brother-captain stern model.||False
378|brotherhood ancient|gk|13.0|elites|a brotherhood ancient is equipped with: storm bolter; frag grenades; krak grenades.||False
379|brotherhood champion|gk|13.0|hq|a brotherhood champion is equipped with: storm bolter; nemesis force sword; frag grenades; krak grenades.||False
380|castellan crowe|gk|13.0|hq|castellan crowe is equipped with: storm bolter; black blade of antwyr; frag grenades; krak grenades. your army can only include one castellan crowe model.||False
381|strike squad|gk|13.0|troops|if this unit contains 6 or more models, it has power rating 12. every model is equipped with: storm bolter; nemesis force sword; frag grenades; krak grenades.||False
382|brotherhood terminator squad|gk|13.0|troops|if this unit contains 6 or more models, it has power rating 22. every model is equipped with: storm bolter; nemesis force sword; frag grenades; krak grenades.||False
383|purifier squad|gk|13.0|elites|if this unit contains 6 or more models, it has power rating 14. every model is equipped with: storm bolter; nemesis force sword; frag grenades; krak grenades.||False
384|paladin squad|gk|13.0|elites|if this unit contains 6 or more models, it has power rating 26. every model is equipped with: storm bolter; nemesis force sword; frag grenades; krak grenades.||False
385|paladin ancient|gk|13.0|elites|a paladin ancient is equipped with: storm bolter; frag grenades; krak grenades. your army can only include one paladin ancient.||False
386|brotherhood apothecary|gk|13.0|elites|a brotherhood apothecary is equipped with: nemesis force sword; frag grenades; krak grenades.||False
387|interceptor squad|gk|13.0|fast attack|if this unit contains 6 or more models, it has power rating 16. every model is equipped with: storm bolter; nemesis force sword; frag grenades; krak grenades.||False
388|purgation squad|gk|13.0|heavy support|if this unit contains 6 or more models, it has power rating 12. every model is equipped with: storm bolter; nemesis force sword; frag grenades; krak grenades.||False
389|nemesis dreadknight|gk|13.0|heavy support|a nemesis dreadknight is equipped with: 2 dreadfists.||False
390|dreadnought|gk|13.0|elites|a dreadnought is equipped with: assault cannon; storm bolter; dreadnought combat weapon.||False
391|land raider|gk|13.0|heavy support|a land raider is equipped with: twin heavy bolter; 2 twin lascannons.||False
392|land raider crusader|gk|13.0|heavy support|a land raider crusader is equipped with: 2 hurricane bolters; twin assault cannon.||False
393|land raider redeemer|gk|13.0|heavy support|a land raider redeemer is equipped with: 2 flamestorm cannons; twin assault cannon.||False
395|razorback|gk|13.0|dedicated transport|a razorback is equipped with: twin heavy bolter.||False
396|rhino|gk|13.0|dedicated transport|a rhino is equipped with: storm bolter.||False
397|servitors|gk|13.0|elites|every model is equipped with: servo-arm.|30.0|True
398|stormraven gunship|gk|13.0|flyers|a stormraven gunship is equipped with: 2 stormstrike missile launchers; twin assault cannon; typhoon missile launcher.||False
399|brotherhood techmarine|gk|13.0|hq|a brotherhood techmarine is equipped with: boltgun; flamer; plasma cutter; omnissian power axe; 2 servo-arms; frag grenades; krak grenades.||False
400|venerable dreadnought|gk|13.0|elites|a venerable dreadnought is equipped with: assault cannon; storm bolter; dreadnought combat weapon.||False
402|commander in coldstar battlesuit|tau|28.0|hq|a commander in coldstar battlesuit is equipped with: high-output burst cannon; target lock.||False
403|tactical drones|tau|28.0|fast attack|this unit is equipped with 4 of the following, in any combination: 1 gun drone; 1 marker drone; 1 shield drone. a gun drone is equipped with: 2 pulse carbines. a marker drone is equipped with: markerlight.||False
404|ethereal|tau|28.0|hq|an ethereal is equipped with: honour stave.||False
405|cadre fireblade|tau|28.0|hq|a cadre fireblade is equipped with: fireblade pulse rifle; markerlight.||False
406|commander farsight|tau|28.0|hq|commander farsight is equipped with: high-intensity plasma rifle; dawn blade. your army can only include one commander farsight model.||False
407|commander shadowsun|tau|28.0|hq|commander shadowsun is equipped with: flechette launcher; 2 high-energy fusion blasters; light missile pod; pulse pistol; advanced guardian drone; command-link drone. your army can only include one commander shadowsun model.||False
408|aun’shi|tau|28.0|hq|aun’shi is equipped with: fidelity. your army can only include one aun’shi model.||False
409|aun’va|tau|28.0|hq|aun’va is equipped with: nothing. every ethereal guard is equipped with: supreme honour blade. your army can only include one aun’va unit.|100.0|True
410|darkstrider|tau|28.0|hq|darkstrider is equipped with: markerlight; shade. your army can only include one darkstrider model.||False
411|strike team|tau|28.0|troops|if this unit contains a support turret model, it has power rating 5.the fire warrior shas’ui and every fire warrior is equipped with: pulse rifle; pulse pistol.a support turret is equipped with: missile pod.|80.0|True
412|breacher team|tau|28.0|troops|if this unit contains a support turret model, it has power rating 6.the breacher fire warrior shas’ui and every breacher fire warrior is equipped with: pulse blaster; pulse pistol.a support turret is equipped with: missile pod.|85.0|True
413|kroot carnivores|tau|28.0|troops|if this unit contains 11 or more models, it has power rating 6. every model is equipped with: kroot rifle; quill grenades.||False
414|krootox riders|tau|28.0|elites|if this unit contains 2 models, it has power rating 4. if this unit contains 3 models, it has power rating 6. every model is equipped with: kroot gun; krootox fists.||False
415|kroot hounds|tau|28.0|fast attack|if this unit contains between 5 and 8 models, it has power rating 2. if this unit contains 9 or more models, it has power rating 3. every model is equipped with: ripping fangs.||False
416|kroot shaper|tau|28.0|hq|a kroot shaper is equipped with: shaper kroot rifle; ritual blade.||False
417|stealth battlesuits|tau|28.0|elites|if this unit contains 4 or more models, it has power rating 8. every model is equipped with: burst cannon.||False
418|crisis battlesuits|tau|28.0|elites|if this unit contains 4 or more models, it has power rating 18. every model is equipped with: burst cannon.||False
419|crisis bodyguards|tau|28.0|elites|if this unit contains between 3 and 4 models, it has power rating 12. if this unit contains 5 or more models, it has power rating 18. every model is equipped with: burst cannon.||False
420|ghostkeel battlesuit|tau|28.0|elites|a ghostkeel shas’vre is equipped with: fusion collider; 2 t’au flamers; ghostkeel fists; drone controller. this unit is equipped with 2 stealth drones.|160.0|True
421|riptide battlesuit|tau|28.0|heavy support|a riptide shas’vre is equipped with: heavy burst cannon; 2 plasma rifles; riptide fists.||False
422|pathfinder team|tau|28.0|fast attack|every model is equipped with: markerlight; pulse carbine; pulse pistol.|90.0|True
423|piranhas|tau|28.0|fast attack|if this unit contains 2 piranha models, it has power rating 8. if this unit contains 3 piranha models, it has power rating 12. if this unit contains 4 piranha models, it has power rating 16. if this unit contains 5 piranha models, it has power rating 20. every model is equipped with: piranha burst cannon. for each piranha model in this unit, this unit is equipped with 2 gun drones. a gun drone is equipped with: 2 pulse carbines.||False
424|devilfish|tau|28.0|dedicated transport|a devilfish is equipped with: accelerator burst cannon. this unit is equipped with 2 gun drones. a gun drone is equipped with: 2 pulse carbines.||False
425|razorshark strike fighter|tau|28.0|flyers|a razorshark strike fighter is equipped with: accelerator burst cannon; quad ion turret; 2 seeker missiles.||False
